x,y,cell_id,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2655963,53.4294419,8685600517058320102,,140178,785995943,38,3,0,0,0
-2.2656636,53.4402279,-6954263172235078938,,242511,2147483647,58,2,2,3,1
-2.2656917,53.4447221,-7903444783360770330,,258003,2147483647,59,2,0,1,1
-2.2657816,53.4591036,8320480176660514534,,251490,2147483647,166,2,3,3,7
-2.2658602,53.4716873,3409797590989018854,,219527,1927684218,125,3,0,1,2
-2.2659897,53.4923604,-2365718945364224282,,164329,1080162289,62,0,1,1,1
-2.2661361,53.51573,-269399527869249818,,117026,547805346,18,0,0,0,1
-2.26617,53.521123,-2832039098631267610,,108445,470413365,122,3,1,4,2
-2.2641192,53.4339394,-55301616101183770,,132384,701020947,54,1,2,0,0
-2.2641527,53.4393324,-1799129505341421850,,180753,1306880067,68,1,1,1,1
-2.2641806,53.4438266,-6922193285528310042,,208520,1739227286,42,1,0,1,2
-2.2643314,53.4680953,7313461786683338470,,224231,2011189023,27,0,1,1,0
-2.2644656,53.4896673,536622626575638246,,176665,1248429584,58,2,1,1,0
-2.2645216,53.4986556,-7877119818569645338,,156873,984365985,55,0,0,1,4
-2.2646225,53.5148345,8300826008003944166,,126002,635065398,47,0,0,1,0
-2.2625364,53.4213589,-5441153801290022170,,6276,1575685,93,0,1,0,0
-2.2625531,53.4240555,-5944133414741826842,,14949,8939149,35,1,0,0,0
-2.2626418,53.4384369,-5608213471952672026,,124489,619903850,68,0,1,2,1
-2.262664,53.4420323,-6104919003042739482,,151680,920279988,74,1,0,1,4
-2.2626751,53.44383,4841772569815309030,,163472,1068926354,21,0,0,1,0
-2.2627028,53.4483242,605508225165856486,,187231,1402222345,46,0,0,3,1
-2.2627695,53.4591102,5228304199853583078,,214363,1838066815,192,5,3,6,4
-2.2628028,53.4645032,-4914485009058255130,,216097,1867919362,65,1,1,0,2
-2.2628473,53.4716939,-4730014491813090586,,210783,1777182063,200,3,6,4,4
-2.2630309,53.5013554,9164094711604889318,,156918,984942367,56,0,3,2,1
-2.2630699,53.5076472,4503625846425485030,,145163,842897817,77,0,1,1,1
-2.2631423,53.519332,3627737104511066854,,125235,627359914,208,2,2,4,2
-2.2614182,53.4842809,974804121586507494,,188592,1422678201,136,1,4,2,1
-2.2615178,53.5004599,525851067126723302,,162328,1054023349,48,1,1,0,0
-2.2615843,53.5112459,6352954652170279654,,143978,829190017,42,1,0,0,1
-2.2621008,53.5948364,-1390349407695291674,,36864,54360706,26,0,0,0,1
-2.2595928,53.4321516,-3186463172877651226,,23870,22792184,34,0,1,0,0
-2.2595982,53.4330505,4728380058564737766,,27829,30980239,114,1,0,1,0
-2.2596037,53.4339493,-4347429581144011034,,32089,41189272,84,0,0,0,1
-2.2596805,53.4465331,4813593830928761574,,106630,454802735,67,0,0,2,0
-2.2597574,53.4591168,8864222466996232934,,164414,1081281354,100,1,5,3,2
-2.2598068,53.4672063,5538582275697341158,,182221,1328191809,93,2,3,2,3
-2.2598233,53.4699029,5428003152784542438,,185208,1372088826,82,1,2,1,1
-2.2599002,53.4824865,1937378668414715622,,185185,1371750910,62,2,0,1,0
-2.2599167,53.485183,5081524606056243942,,183048,1340270437,68,1,1,0,0
-2.2599277,53.4869807,723662850062636774,,181341,1315395579,6,0,0,2,0
-2.2600819,53.512148,810945815195102950,,146449,857892415,17,0,0,1,1
-2.2581586,53.4438398,4768270369095828198,,63972,163698681,28,0,0,2,0
-2.2581804,53.4474352,-4295180408545597722,,83495,278858097,160,2,2,1,2
-2.2582077,53.4519294,9205998164829418214,,107019,458129466,45,0,2,1,1
-2.2582131,53.4528282,7688969206081764070,,111448,496827343,72,3,2,1,2
-2.2582513,53.4591201,-1007389654633267482,,138677,769253405,96,1,1,1,3
-2.258295,53.4663108,-3233283323207055642,,160430,1029520509,99,2,1,0,0
-2.2583332,53.4726026,1459857957755788006,,171433,1175580403,167,3,3,4,5
-2.2585137,53.5022641,-5992403126214425882,,161607,1044685506,97,0,2,3,1
-2.2586232,53.5202407,-418218863092877594,,138013,761907618,48,1,1,0,0
-2.2566368,53.4411466,-7727797502955529498,,32729,42850013,73,0,2,0,0
-2.2566693,53.4465396,2277113781933741798,,56354,127033677,53,1,0,0,0
