x,y,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2807386,53.4034207,release location,,,,,,,
-2.2653554,53.3907915,,700,19610,74,0,0,0,0
-2.2655402,53.4204534,,804158,97051937,22,2,2,2,1
-2.2655963,53.4294419,,466825,127120236,38,1,2,4,4
-2.2656636,53.4402279,,202921,1647086315,58,1,0,1,0
-2.2656917,53.4447221,,135376,733066919,59,1,3,0,0
-2.2657816,53.4591036,,26176,27408851,166,0,0,0,2
-2.2658602,53.4716873,,3543,502164,125,0,0,0,0
-2.2659897,53.4923604,,31,40,62,0,0,0,0
-2.2638295,53.3871995,,155,963,80,0,0,0,0
-2.2638462,53.389896,,450,8130,101,0,0,0,0
-2.2639019,53.3988845,,14130,7986382,38,0,0,1,0
-2.2639074,53.3997833,,20055,16088997,3,0,0,0,0
-2.2639186,53.401581,,39984,63951748,38,0,0,0,0
-2.263952,53.4069741,,236784,2147483647,6,0,0,1,1
-2.2641192,53.4339394,,330505,74396681,54,1,1,2,1
-2.2641527,53.4393324,,218954,1917644160,68,1,1,0,0
-2.2641806,53.4438266,,148795,885599489,42,1,0,0,0
-2.2643314,53.4680953,,6943,1928224,27,0,0,0,0
-2.2643426,53.4698929,,5103,1041859,46,0,0,0,0
-2.2644656,53.4896673,,71,201,58,0,0,0,0
-2.2645216,53.4986556,,4,0,55,0,0,0,0
-2.2622928,53.3818097,,1,0,92,0,0,0,0
-2.2623039,53.3836074,,24,23,84,0,0,0,0
-2.2623703,53.3943936,,2149,184880,13,0,0,0,0
-2.2623758,53.3952924,,3001,360349,95,0,0,0,0
-2.2624367,53.4051797,,102710,421978226,70,1,0,0,0
-2.2624422,53.4060786,,133578,713726963,25,0,0,0,0
-2.262481,53.4123705,,458117,2147483647,17,2,1,0,1
-2.2625364,53.4213589,,601255,1575414000,93,8,5,6,4
-2.2625531,53.4240555,,552605,2147483647,35,2,0,3,4
-2.2626418,53.4384369,,232323,2147483647,68,3,1,1,0
-2.262664,53.4420323,,174001,1211059125,74,1,1,2,1
-2.2626751,53.44383,,148946,887407894,21,0,0,0,0
-2.2627028,53.4483242,,97465,379982702,46,1,0,2,1
-2.2627695,53.4591102,,27706,30705127,192,0,0,0,0
-2.2628028,53.4645032,,12772,6525933,65,0,0,0,0
-2.2628473,53.4716939,,3847,592140,200,0,0,0,1
-2.2630309,53.5013554,,0,0,56,0,0,0,0
-2.2608335,53.3890038,,263,2776,76,0,0,0,0
-2.2609546,53.4087784,,190409,1450234389,47,1,0,1,1
-2.2610152,53.4186657,,517675,2129591014,41,0,5,1,1
-2.2610427,53.4231599,,505261,1621631575,25,1,0,0,1
-2.2612027,53.4492263,,89214,318372325,37,1,0,0,2
-2.2614182,53.4842809,,298,3552,136,0,0,0,0
-2.2615178,53.5004599,,1,0,48,0,0,0,0
-2.2593464,53.3917036,,620,15394,73,0,0,0,0
-2.2595106,53.418669,,428465,2147483647,87,1,6,4,7
-2.259516,53.4195678,,437956,2147483647,51,1,2,2,1
-2.2595928,53.4321516,,322695,2147483647,34,2,2,2,2
-2.2595982,53.4330505,,307488,2147483647,114,2,4,2,5
-2.2596037,53.4339493,,292315,2147483647,84,2,2,3,5
-2.2596311,53.4384435,,219594,1928868614,53,1,2,2,0
-2.2596641,53.4438366,,145255,843970809,24,0,0,0,0
-2.2596805,53.4465331,,114723,526456416,67,1,1,0,2
-2.2597299,53.4546226,,49666,98669644,35,0,0,0,0
-2.2597574,53.4591168,,28471,32424467,100,0,0,1,0
-2.2598068,53.4672063,,8726,3046281,93,0,0,0,0
-2.2598233,53.4699029,,5571,1241614,82,0,0,0,0
-2.2599002,53.4824865,,465,8676,62,0,0,0,0
-2.2599167,53.485183,,250,2508,68,0,0,0,0
-2.2599277,53.4869807,,162,1054,6,0,0,0,0
-2.2577938,53.3836172,,19,15,99,0,0,0,0
-2.2578046,53.3854149,,51,107,51,0,0,0,0
-2.2578101,53.3863138,,76,232,78,0,0,0,0
-2.2578264,53.3890103,,211,1783,62,0,0,0,0
-2.2578318,53.3899092,,290,3374,70,0,0,0,0
-2.2578644,53.3953023,,1869,139767,25,0,0,0,0
-2.2579297,53.4060884,,56196,126321066,60,0,0,0,0
-2.2580223,53.4213688,,379093,1453496505,80,4,2,4,4
-2.2580277,53.4222676,,382306,1551358027,38,1,0,2,0
-2.258104,53.4348514,,261672,2147483647,97,2,1,5,1
-2.2581258,53.4384468,,210399,1770710726,22,0,0,1,0
-2.2581586,53.4438398,,141548,801442737,28,0,1,0,0
-2.2581804,53.4474352,,103753,430593542,160,2,0,1,1
-2.2582077,53.4519294,,66585,177344722,45,0,0,0,0
-2.2582131,53.4528282,,60466,146246780,72,0,0,0,0
-2.2582513,53.4591201,,28544,32592576,96,0,0,0,1
-2.258295,53.4663108,,10189,4152954,99,1,0,0,1
-2.2583332,53.4726026,,3521,496010,167,0,0,0,0
-2.258377,53.4797933,,860,29596,2,0,0,0,0
-2.2585137,53.5022641,,0,0,97,0,0,0,0
-2.2563012,53.3854182,,47,89,52,0,0,0,0
-2.256339,53.3917101,,473,8962,70,0,0,0,0
-2.2563444,53.392609,,641,16483,60,0,0,0,0
-2.2563498,53.3935078,,869,30232,98,0,0,0,0
-2.2564472,53.4096871,,98012,384257069,67,0,0,0,1
-2.256588,53.433057,,266286,2147483647,21,0,1,1,1
-2.2566368,53.4411466,,167066,1116451233,73,1,4,0,2
-2.2566693,53.4465396,,109470,479350759,53,0,1,0,2
-2.2566856,53.4492361,,85674,293602960,63,0,0,0,1
-2.2567127,53.4537303,,54050,116857146,74,0,1,0,1
-2.2567236,53.455528,,44112,77837557,76,0,0,2,0
-2.2567778,53.4645164,,13453,7240079,113,0,0,0,0
-2.2568539,53.4771001,,1521,92576,21,0,0,0,0
-2.2568702,53.4797966,,876,30748,112,0,0,0,0
-2.2568919,53.4833919,,400,6411,326,0,0,0,0
-2.2547924,53.3845226,,28,31,82,0,0,0,0
-2.25483,53.3908145,,303,3687,20,0,0,0,0
-2.2548568,53.3953087,,1346,72492,86,0,0,1,0
-2.2549214,53.4060949,,33587,45125249,77,0,0,0,0
-2.2549375,53.4087914,,62770,157603926,115,1,1,1,0
-2.2551799,53.4492393,,83175,276723808,131,1,1,1,0
-2.2552824,53.4663173,,10212,4171604,129,0,0,0,0
-2.2554877,53.500473,,2,0,31,0,0,0,0
-2.2554932,53.5013718,,0,0,74,0,0,0,0
-2.253289,53.3845258,,25,25,102,0,0,0,0
-2.2532996,53.3863235,,54,120,107,0,0,0,0
-2.2533263,53.3908177,,263,2772,14,0,0,0,0
-2.2533317,53.3917165,,354,5021,82,0,0,0,0
-2.2536635,53.4474449,,93793,351891621,100,2,2,0,1
-2.2537224,53.4573321,,34314,47099252,68,0,1,0,0
-2.2537654,53.4645228,,13237,7009005,72,1,0,0,0
-2.2537976,53.4699158,,5691,1295840,104,0,0,0,0
-2.2539157,53.4896902,,90,329,143,0,0,0,0
-2.2518227,53.3908209,,227,2064,60,0,0,0,0
-2.2518493,53.3953151,,960,36898,52,0,0,0,0
-2.2520141,53.4231793,,200564,1609041423,25,3,1,1,0
-2.2521259,53.442055,,132093,697950635,102,1,1,2,1
-2.2521791,53.4510434,,64940,168689803,2,0,0,0,0
-2.2522378,53.4609306,,21321,18184439,18,0,0,0,0
-2.2523392,53.4780085,,1286,66173,11,0,0,0,0
-2.2502874,53.385431,,30,36,72,0,0,0,0
-2.250504,53.4222837,,161625,1044909750,35,1,0,0,0
-2.2506151,53.4411593,,129354,669300197,71,1,0,2,0
-2.2507211,53.4591361,,25927,26889429,69,1,0,0,0
-2.2507582,53.465428,,11117,4944147,67,0,0,0,0
-2.2508271,53.4771129,,1520,92468,26,0,0,0,0
-2.2509439,53.4968872,,11,5,84,0,0,0,0
-2.248763,53.3818387,,1,0,68,0,0,0,0
-2.2488889,53.4034111,,6730,1812213,6,0,0,0,0
-2.2489099,53.4070064,,16090,10355646,5,0,0,0,0
-2.2489572,53.4150961,,69136,191194687,119,1,0,2,1
-2.2490098,53.4240845,,146417,857528703,40,1,1,0,0
-2.2490518,53.4312752,,162709,1058970503,125,0,0,1,2
-2.2491413,53.4465555,,84496,285586113,70,0,0,2,2
-2.2491992,53.4564428,,34005,46255955,97,1,0,0,0
-2.2494471,53.498688,,5,1,51,0,0,0,0
-2.2494577,53.5004857,,2,0,12,0,0,0,0
-2.2494683,53.5022834,,0,0,96,0,0,0,0
-2.2472857,53.3863361,,32,41,74,0,0,0,0
-2.2474736,53.4186946,,83795,280865997,35,0,0,0,0
-2.2474893,53.4213911,,104851,439754492,18,0,0,0,0
-2.2475468,53.4312784,,142130,808040608,92,3,2,0,4
-2.2475625,53.4339749,,138373,765886089,8,0,0,1,1
-2.2476933,53.4564459,,32261,41632852,97,0,0,0,1
-2.2477614,53.4681308,,6934,1923760,180,0,0,0,0
-2.2477718,53.4699285,,5216,1088362,138,0,0,1,0
-2.2479397,53.4986912,,5,1,48,0,0,0,0
-2.2457615,53.3827438,,4,0,66,0,0,0,0
-2.2457822,53.3863392,,27,30,30,0,0,0,0
-2.2457978,53.3890357,,68,185,41,0,0,0,0
-2.245803,53.3899346,,90,328,20,0,0,0,0
-2.245995,53.4231919,,97319,378846561,108,0,3,0,1
-2.2460469,53.4321803,,123368,608786963,45,1,0,0,0
-2.2461665,53.4528537,,43509,75723641,99,0,0,0,0
-2.2461769,53.4546513,,36593,53562631,43,0,0,0,0
-2.2461977,53.4582467,,24921,24842793,85,1,1,0,0
-2.2462029,53.4591455,,22460,20179589,36,0,0,0,0
-2.2464479,53.5013908,,0,0,103,0,0,0,0
-2.2443045,53.3908365,,101,412,37,0,0,0,0
-2.2443097,53.3917354,,134,719,50,0,0,0,0
-2.2443148,53.3926342,,176,1246,66,0,0,0,0
-2.2444747,53.4204985,,65573,171996029,62,1,0,1,0
-2.2445521,53.4339811,,106355,452459474,97,3,0,3,0
-2.2446141,53.4447672,,73745,217534445,55,0,0,0,0
-2.2447849,53.4744289,,2246,201852,111,0,0,0,0
-2.2427906,53.3890419,,48,94,54,0,0,0,0
-2.2430829,53.4402761,,81572,266160060,55,2,1,0,0
-2.2431343,53.4492645,,49865,99461206,87,1,0,0,1
-2.2431805,53.457354,,24030,23099506,90,0,1,0,0
-2.2432114,53.4627471,,12749,6502301,72,0,0,0,1
-2.243268,53.4726343,,2928,342996,300,0,0,0,0
-2.243304,53.4789261,,927,34418,2,0,0,0,0
-2.2433452,53.4861168,,201,1617,2,0,0,0,0
-2.2412565,53.3836518,,5,1,16,0,0,0,0
-2.2414602,53.4196057,,39825,63443812,120,0,0,0,1
-2.2414959,53.4258976,,64896,168461555,145,1,2,2,0
-2.2415061,53.4276953,,70521,198929690,67,1,0,0,1
-2.2415265,53.4312907,,77959,243109560,58,0,0,1,0
-2.2415673,53.4384814,,75753,229546718,75,0,1,0,2
-2.2415826,53.441178,,69981,195895259,46,2,1,1,1
-2.2417563,53.4717385,,3217,414167,456,0,0,0,1
-2.2417717,53.474435,,2035,165674,361,0,0,0,1
-2.2397683,53.3863514,,14,8,14,0,0,0,0
-2.2397784,53.3881491,,25,26,11,0,0,0,0
-2.239991,53.4259007,,53869,116075515,121,1,0,1,1
-2.2400113,53.4294961,,63146,159500304,74,0,3,1,4
-2.2400214,53.4312937,,66193,175263517,51,0,0,1,0
-2.240062,53.4384845,,66142,174991755,87,1,0,1,1
-2.2401178,53.4483717,,43356,75193083,91,0,1,0,1
-2.2401584,53.4555625,,24353,23724368,219,1,1,2,0
-2.2401635,53.4564613,,22316,19921631,84,0,0,0,1
-2.2401686,53.4573601,,20381,16616251,45,0,0,0,0
-2.2402143,53.4654497,,7746,2400042,67,0,0,0,0
-2.2402244,53.4672474,,6020,1449933,209,0,1,0,0
-2.2402549,53.4726404,,2606,271666,391,0,0,0,0
-2.2402753,53.4762357,,1392,77554,68,0,0,0,0
-2.2403007,53.4807299,,587,13819,2,0,0,0,0
-2.2383,53.3926464,,84,284,49,0,0,0,0
-2.2384106,53.412421,,9553,3650795,3,0,0,0,0
-2.2385668,53.4402852,,55323,122429230,73,1,0,0,0
-2.2386777,53.4600597,,13940,7773682,35,0,0,0,0
-2.2387635,53.4753399,,1534,94215,475,0,0,0,0
-2.2367614,53.3863574,,9,3,32,0,0,0,0
-2.2367813,53.3899528,,30,38,17,0,0,0,0
-2.2368213,53.3971436,,246,2438,65,0,0,0,0
-2.2369212,53.4151206,,11756,5528606,58,0,0,0,0
-2.2369363,53.4178171,,17050,11628338,149,0,2,0,0
-2.2369563,53.4214125,,25538,26088121,33,0,0,0,0
-2.2369863,53.4268055,,38805,60235513,12,1,0,0,0
-2.2370564,53.4393893,,48849,95451775,98,1,2,0,0
-2.2370614,53.4402882,,48000,92162565,84,0,1,1,1
-2.2370864,53.4447824,,41430,68659479,47,0,0,0,0
-2.2371566,53.4573662,,16825,11323481,150,1,0,0,0
-2.2373121,53.4852301,,202,1641,88,0,0,0,0
-2.2373322,53.4888255,,88,313,48,0,0,0,0
-2.235248,53.3845627,,4,0,39,0,0,0,0
-2.2352579,53.3863604,,8,2,17,0,0,0,0
-2.2354168,53.4151235,,9415,3546018,75,0,0,0,0
-2.2356157,53.4510773,,25567,26148865,125,0,0,0,0
-2.2357503,53.4753459,,1322,69999,640,0,0,0,1
-2.2357852,53.4816378,,404,6560,141,0,0,0,0
-2.2683118,53.3826952,,12,6,30,0,0,0,0
-2.268357,53.389886,,574,13212,86,0,0,0,1
-2.268578,53.4249409,,696317,2147483647,3,0,0,0,0
-2.2686801,53.44112,,180682,1305847743,77,1,3,2,2
-2.2687482,53.4519061,,59775,142923281,16,1,0,0,0
-2.2687539,53.4528049,,53796,115760821,95,1,1,0,0
-2.2688334,53.4653887,,9388,3526127,226,0,2,1,0
-2.2688789,53.4725793,,2686,288674,11,0,0,0,0
-2.2689074,53.4770735,,1108,49181,2,0,0,0,0
-2.2690269,53.495949,,9,3,43,0,0,0,0
-2.269061,53.501342,,0,0,60,0,0,0,0
-2.2690667,53.5022408,,0,0,13,0,0,0,0
-2.2668028,53.3817997,,1,0,84,0,0,0,0
-2.2668309,53.386294,,118,564,30,0,0,0,0
-2.2668647,53.391687,,1094,47891,79,0,0,0,0
-2.2671803,53.4420223,,170673,1165178201,52,0,1,1,2
-2.2672142,53.4474153,,101335,410755877,207,1,2,3,3
-2.2673159,53.4635944,,13107,6872157,45,0,1,0,0
-2.2674686,53.4878629,,99,399,73,0,0,0,0
-2.2675139,53.4950536,,13,6,37,0,0,0,0
-2.2675195,53.4959524,,9,3,59,0,0,0,0
-2.2675478,53.5004465,,1,0,75,0,0,0,0
-2.2675592,53.5022442,,0,0,85,0,0,0,0
-2.3600609,53.3878467,,0,0,32,0,0,0,0
-2.3600913,53.3914421,,0,0,28,0,0,0,0
-2.3601293,53.3959363,,0,0,76,0,0,0,0
-2.360228,53.4076212,,0,0,79,0,0,0,0
-2.3603192,53.4184072,,0,0,72,0,0,0,0
-2.3603497,53.4220025,,0,0,5,0,0,0,0
-2.3605628,53.4471698,,0,0,51,0,0,0,0
-2.3606466,53.457057,,0,0,45,0,0,0,0
-2.3606542,53.4579558,,0,0,30,0,0,0,0
-2.3606771,53.4606523,,0,0,73,0,0,0,0
-2.3607991,53.4750335,,0,0,80,0,0,0,0
-2.3608067,53.4759324,,0,0,86,0,0,0,0
