x,y,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2807386,53.4034207,release location,,,,,,,
-2.2653554,53.3907915,,1486,88348,74,0,0,0,0
-2.2655402,53.4204534,,462944,2147483647,22,1,2,0,0
-2.2655963,53.4294419,,286799,2147483647,38,3,1,2,0
-2.2656636,53.4402279,,121460,590105181,58,1,0,0,2
-2.2656917,53.4447221,,77494,240216609,59,1,0,0,1
-2.2657816,53.4591036,,11795,5565330,166,0,0,0,1
-2.2658602,53.4716873,,1192,56870,125,0,0,0,0
-2.2659897,53.4923604,,2,0,62,0,0,0,0
-2.2638295,53.3871995,,380,5778,80,0,0,0,0
-2.2638462,53.389896,,959,36845,101,0,0,0,0
-2.2639019,53.3988845,,19152,14673442,38,0,0,0,0
-2.2639074,53.3997833,,25542,26096146,3,0,0,0,0
-2.2639186,53.401581,,44506,79232780,38,0,0,0,1
-2.263952,53.4069741,,172912,1195945945,6,0,1,0,0
-2.2641192,53.4339394,,190832,1456687629,54,0,0,0,0
-2.2641527,53.4393324,,123279,607910469,68,1,3,1,0
-2.2641806,53.4438266,,80334,258146374,42,0,0,0,0
-2.2643314,53.4680953,,2372,225138,27,0,0,0,0
-2.2643426,53.4698929,,1667,111213,46,0,0,0,0
-2.2644656,53.4896673,,9,3,58,0,0,0,0
-2.2622928,53.3818097,,42,70,92,0,0,0,0
-2.2623039,53.3836074,,91,332,84,0,0,0,0
-2.2623703,53.3943936,,3644,531258,13,0,0,0,0
-2.2623758,53.3952924,,4870,948975,95,0,0,0,0
-2.2624367,53.4051797,,85882,295032818,70,1,2,2,1
-2.2624422,53.4060786,,104606,437697151,25,0,0,0,0
-2.262481,53.4123705,,260091,2147483647,17,2,0,0,0
-2.2625364,53.4213589,,317599,2147483647,93,3,3,0,4
-2.2625531,53.4240555,,294902,2147483647,35,0,3,2,0
-2.2626418,53.4384369,,123107,606219485,68,0,0,1,0
-2.262664,53.4420323,,89446,320027588,74,0,2,0,0
-2.2626751,53.44383,,75086,225516674,21,0,0,0,0
-2.2627028,53.4483242,,46269,85635347,46,0,1,1,0
-2.2627695,53.4591102,,10803,4668323,192,0,0,1,0
