x,y,cell_id,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2655402,53.4204534,6504529144908220134,,171453,1175855007,22,1,0,0,1
-2.2655963,53.4294419,8685600517058320102,,108683,472481568,38,1,2,1,0
-2.2656917,53.4447221,-7903444783360770330,,42119,70962128,59,0,1,0,0
-2.2657816,53.4591036,8320480176660514534,,18316,13420276,166,1,0,1,0
-2.2658602,53.4716873,3409797590989018854,,7533,2270409,125,0,0,1,0
-2.2641527,53.4393324,-1799129505341421850,,60877,148242515,68,0,0,0,1
-2.2641806,53.4438266,-6922193285528310042,,47274,89395560,42,0,0,0,1
-2.2625364,53.4213589,-5441153801290022170,,123266,607787642,93,2,0,0,0
-2.2625531,53.4240555,-5944133414741826842,,122389,599165181,35,0,0,1,0
-2.2626418,53.4384369,-5608213471952672026,,66048,174493628,68,1,0,0,0
-2.2627028,53.4483242,605508225165856486,,39291,61751909,46,0,1,0,1
-2.2595106,53.418669,1878073865649755878,,67651,183071103,87,0,0,0,1
-2.259516,53.4195678,-6359262275304227098,,73566,216483082,51,0,1,1,1
-2.2595928,53.4321516,-3186463172877651226,,84449,285269388,34,0,2,1,1
-2.2595982,53.4330505,4728380058564737766,,82122,269767190,114,0,3,1,0
-2.2596037,53.4339493,-4347429581144011034,,79694,254048102,84,1,2,1,0
-2.2596311,53.4384435,2486736712152068838,,67085,180018068,53,0,0,0,1
-2.2597299,53.4546226,6467569402093212390,,31593,39926870,35,0,0,0,1
-2.2597574,53.4591168,8864222466996232934,,24768,24539821,100,0,0,0,1
-2.2598068,53.4672063,5538582275697341158,,14936,8924503,93,0,0,1,0
-2.2599167,53.485183,5081524606056243942,,3030,367256,68,1,0,0,0
-2.2599277,53.4869807,723662850062636774,,2470,244177,6,0,0,0,1
-2.2580223,53.4213688,-4182704147092003098,,66793,178453312,80,1,0,0,1
-2.2580277,53.4222676,-5187000936324133146,,70874,200929735,38,0,1,0,0
-2.258104,53.4348514,4541397942516936422,,74212,220301639,97,0,0,1,0
-2.2581258,53.4384468,2641711967522112230,,66180,175192085,22,2,0,1,1
-2.2581804,53.4474352,-4295180408545597722,,46259,85599114,160,2,0,2,0
-2.2582131,53.4528282,7688969206081764070,,36147,52266608,72,0,1,2,0
