x,y,cell_id,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2655402,53.4204534,6504529144908220134,,574466,315587979,22,1,3,1,1
-2.2655963,53.4294419,8685600517058320102,,653917,2147483647,38,1,2,1,3
-2.2656636,53.4402279,-6954263172235078938,,544486,2147483647,58,4,3,4,4
-2.2656917,53.4447221,-7903444783360770330,,494276,1182437477,59,5,0,5,2
-2.2657816,53.4591036,8320480176660514534,,350673,623905452,166,3,6,4,3
-2.2658602,53.4716873,3409797590989018854,,228974,2097164048,125,3,8,1,0
-2.2659897,53.4923604,-2365718945364224282,,64635,167112023,62,0,1,0,0
-2.2641192,53.4339394,-55301616101183770,,541947,2147483647,54,2,2,3,3
-2.2641527,53.4393324,-1799129505341421850,,507759,1722851167,68,7,4,3,5
-2.2641806,53.4438266,-6922193285528310042,,472084,324612273,42,3,2,2,1
-2.2643314,53.4680953,7313461786683338470,,261247,2147483647,27,0,2,1,0
-2.2643426,53.4698929,-5119406691067266330,,244455,2147483647,46,2,0,2,1
-2.2644656,53.4896673,536622626575638246,,80828,261330118,58,1,1,1,0
-2.2646225,53.5148345,8300826008003944166,,5302,1124775,47,0,0,1,0
-2.2625364,53.4213589,-5441153801290022170,,320967,2147483647,93,3,0,1,1
-2.2625531,53.4240555,-5944133414741826842,,383258,1580508714,35,3,4,1,2
-2.2626418,53.4384369,-5608213471952672026,,461388,2147483647,68,2,6,2,3
-2.262664,53.4420323,-6104919003042739482,,446009,2147483647,74,4,1,1,2
-2.2626751,53.44383,4841772569815309030,,436550,2147483647,21,1,2,1,2
-2.2627028,53.4483242,605508225165856486,,409651,2147483647,46,1,0,2,1
-2.2627695,53.4591102,5228304199853583078,,332474,126604715,192,10,6,6,6
-2.2628028,53.4645032,-4914485009058255130,,288098,2147483647,65,2,1,3,2
-2.2628473,53.4716939,-4730014491813090586,,224695,2019531363,200,1,3,6,5
-2.2630309,53.5013554,9164094711604889318,,28254,31932680,56,1,0,0,0
-2.2630699,53.5076472,4503625846425485030,,13859,7683262,77,0,1,0,1
-2.2610152,53.4186657,5173944745410239206,,166718,1111798281,41,4,0,1,1
-2.2610427,53.4231599,-97734301553612058,,270474,2147483647,25,3,0,0,1
-2.2612027,53.4492263,-2768365916960627994,,377562,1407168304,37,2,2,2,1
-2.2614182,53.4842809,974804121586507494,,116822,545903554,136,2,0,6,2
-2.2595106,53.418669,1878073865649755878,,113770,517747897,87,0,1,2,2
-2.259516,53.4195678,-6359262275304227098,,130415,680329104,51,1,1,0,0
-2.2595928,53.4321516,-3186463172877651226,,323674,2147483647,34,1,2,2,1
-2.2595982,53.4330505,4728380058564737766,,330835,83117701,114,4,1,2,2
-2.2596037,53.4339493,-4347429581144011034,,337098,250437446,84,5,3,5,7
-2.2596311,53.4384435,2486736712152068838,,356586,791191858,53,5,1,2,3
-2.2596641,53.4438366,6267195244730139366,,360174,894062096,24,0,2,1,0
-2.2596805,53.4465331,4813593830928761574,,356229,781014126,67,4,4,0,3
-2.2597299,53.4546226,6467569402093212390,,328283,15847869,35,0,2,3,1
-2.2597574,53.4591168,8864222466996232934,,304352,2147483647,100,0,4,3,2
-2.2598068,53.4672063,5538582275697341158,,249377,2147483647,93,2,5,2,1
-2.2598233,53.4699029,5428003152784542438,,228522,2088897640,82,1,3,5,1
-2.2599002,53.4824865,1937378668414715622,,128224,657660709,62,2,2,0,0
-2.2599167,53.485183,5081524606056243942,,108713,472744081,68,0,0,1,0
-2.2579297,53.4060884,-5577176485274819866,,1675,112283,60,0,1,0,0
-2.2580223,53.4213688,-4182704147092003098,,117107,548565077,80,5,0,0,0
-2.2580277,53.4222676,-5187000936324133146,,131049,686963442,38,0,2,1,0
-2.258104,53.4348514,4541397942516936422,,287218,2147483647,97,4,1,2,3
-2.2581258,53.4384468,2641711967522112230,,307852,2147483647,22,0,1,0,0
-2.2581586,53.4438398,4768270369095828198,,321736,2147483647,28,0,1,0,1
-2.2581804,53.4474352,-4295180408545597722,,322066,2147483647,160,4,9,6,10
-2.2582077,53.4519294,9205998164829418214,,314566,2147483647,45,4,1,0,0
-2.2582131,53.4528282,7688969206081764070,,312135,2147483647,72,1,2,1,2
-2.2582513,53.4591201,-1007389654633267482,,287504,2147483647,96,3,4,7,1
-2.258295,53.4663108,-3233283323207055642,,245409,2147483647,99,2,2,4,3
-2.2583332,53.4726026,1459857957755788006,,200115,1601852979,167,3,4,1,3
-2.2585137,53.5022641,-5992403126214425882,,25416,25840453,97,0,0,0,1
-2.256588,53.433057,3189310789920967398,,222602,1982074874,21,1,0,1,0
-2.2566368,53.4411466,-7727797502955529498,,275848,2147483647,73,1,1,1,4
-2.2566693,53.4465396,2277113781933741798,,289175,2147483647,53,3,3,0,4
-2.2566856,53.4492361,-6539516393388987674,,290393,2147483647,63,2,2,2,0
-2.2567127,53.4537303,-4155465383613604122,,285456,2147483647,74,3,5,5,2
-2.2567236,53.455528,3644611249090808550,,281252,2147483647,76,1,2,0,2
-2.2567778,53.4645164,2260235857620370150,,243723,2147483647,113,3,4,4,2
