x,y,cell_id,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2655402,53.4204534,6504529144908220134,,380152,1485665844,22,0,0,0,4
-2.2655963,53.4294419,8685600517058320102,,610424,2019823694,38,5,4,0,2
-2.2656636,53.4402279,-6954263172235078938,,314433,2147483647,58,0,3,1,1
-2.2656917,53.4447221,-7903444783360770330,,221032,1954208907,59,1,2,1,0
-2.2657816,53.4591036,8320480176660514534,,73641,216921796,166,1,0,2,1
-2.2658602,53.4716873,3409797590989018854,,30821,37997618,125,0,2,1,2
-2.2659897,53.4923604,-2365718945364224282,,8730,3049009,62,1,0,0,0
-2.2641192,53.4339394,-55301616101183770,,490338,1027330497,54,3,1,3,1
-2.2641527,53.4393324,-1799129505341421850,,370143,1185288352,68,3,5,6,1
-2.2641806,53.4438266,-6922193285528310042,,275020,2147483647,42,0,1,1,1
-2.2643426,53.4698929,-5119406691067266330,,44700,79926891,46,0,1,0,0
-2.2625364,53.4213589,-5441153801290022170,,145427,845971892,93,2,2,2,2
-2.2625531,53.4240555,-5944133414741826842,,261129,2147483647,35,2,0,1,4
-2.2626418,53.4384369,-5608213471952672026,,401927,2147483647,68,2,2,1,1
-2.262664,53.4420323,-6104919003042739482,,337564,263035717,74,1,3,2,1
-2.2626751,53.44383,4841772569815309030,,305233,2147483647,21,0,2,1,0
-2.2627028,53.4483242,605508225165856486,,231980,2147483647,46,2,1,4,1
-2.2627695,53.4591102,5228304199853583078,,114251,522133843,192,0,2,0,2
-2.2628028,53.4645032,-4914485009058255130,,80072,256466709,65,2,1,0,1
-2.2628473,53.4716939,-4730014491813090586,,50352,101413870,200,1,0,1,0
-2.2630309,53.5013554,9164094711604889318,,8864,3142934,56,1,0,0,0
-2.2631423,53.519332,3627737104511066854,,3540,501451,208,0,0,1,0
-2.2610152,53.4186657,5173944745410239206,,26051,27147924,41,0,0,0,1
-2.2610427,53.4231599,-97734301553612058,,127915,654491691,25,0,0,1,0
-2.2612027,53.4492263,-2768365916960627994,,246613,2147483647,37,0,0,0,2
-2.2614182,53.4842809,974804121586507494,,29359,34480023,136,1,2,1,0
-2.2615843,53.5112459,6352954652170279654,,6724,1808735,42,0,1,0,0
-2.2595928,53.4321516,-3186463172877651226,,307022,2147483647,34,1,2,1,1
-2.2595982,53.4330505,4728380058564737766,,323675,2147483647,114,1,6,2,5
-2.2596037,53.4339493,-4347429581144011034,,337470,260475570,84,1,1,2,8
-2.2596311,53.4384435,2486736712152068838,,364741,1026484719,53,1,3,3,2
-2.2596641,53.4438366,6267195244730139366,,330808,82401163,24,0,0,1,1
-2.2596805,53.4465331,4813593830928761574,,300695,2147483647,67,0,2,2,3
-2.2597299,53.4546226,6467569402093212390,,204689,1675905386,35,0,3,0,0
-2.2597574,53.4591168,8864222466996232934,,159712,1020318102,100,3,3,1,3
-2.2598068,53.4672063,5538582275697341158,,99736,397892620,93,0,0,1,1
-2.2598233,53.4699029,5428003152784542438,,85020,289140294,82,1,0,0,1
-2.2599002,53.4824865,1937378668414715622,,40578,65862980,62,0,2,0,0
-2.2599167,53.485183,5081524606056243942,,34740,48276369,68,0,0,0,2
-2.258104,53.4348514,4541397942516936422,,282901,2147483647,97,0,2,2,2
-2.2581258,53.4384468,2641711967522112230,,323240,2147483647,22,1,0,3,1
-2.2581586,53.4438398,4768270369095828198,,323609,2147483647,28,0,0,0,2
-2.2581804,53.4474352,-4295180408545597722,,297893,2147483647,160,5,8,3,4
-2.2582077,53.4519294,9205998164829418214,,253658,2147483647,45,1,0,0,1
-2.2582131,53.4528282,7688969206081764070,,244293,2147483647,72,1,1,1,1
-2.2582513,53.4591201,-1007389654633267482,,181498,1317672165,96,3,2,1,0
-2.258295,53.4663108,-3233283323207055642,,123719,612258858,99,1,0,1,2
-2.2583332,53.4726026,1459857957755788006,,87005,302796247,167,0,0,1,2
-2.2585137,53.5022641,-5992403126214425882,,16852,11359729,97,1,0,0,0
-2.256588,53.433057,3189310789920967398,,183675,1349462811,21,0,0,1,0
-2.2566368,53.4411466,-7727797502955529498,,296715,2147483647,73,1,2,5,2
-2.2566693,53.4465396,2277113781933741798,,299092,2147483647,53,1,0,2,2
-2.2566856,53.4492361,-6539516393388987674,,284822,2147483647,63,2,3,0,1
-2.2567127,53.4537303,-4155465383613604122,,249373,2147483647,74,2,0,1,2
-2.2567236,53.455528,3644611249090808550,,233316,2147483647,76,0,0,0,2
-2.2567778,53.4645164,2260235857620370150,,155806,971025214,113,3,5,2,2
-2.2568539,53.4771001,-682958741977944346,,80475,259053157,21,0,0,1,0
-2.2568702,53.4797966,1963039215706292966,,69504,193235825,112,1,0,0,0
