x,y,cell_id,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2655402,53.4204534,6504529144908220134,,2899071,1177135569,22,6,8,7,3
-2.2655963,53.4294419,8685600517058320102,,1142443,667472795,38,4,2,6,3
-2.2656636,53.4402279,-6954263172235078938,,293159,2147483647,58,2,3,2,0
-2.2656917,53.4447221,-7903444783360770330,,149955,899462775,59,0,1,2,2
-2.2657816,53.4591036,8320480176660514534,,10229,4185409,166,1,0,0,0
-2.2638462,53.389896,5509500525831859942,,10788,4655352,101,1,0,0,0
-2.2639019,53.3988845,5709843737958459110,,224143,2009604176,38,1,1,3,1
-2.2639186,53.401581,8774893376785942246,,541626,2147483647,38,2,0,2,5
-2.263952,53.4069741,-2540649673480081690,,2217539,2147483647,6,3,0,1,0
-2.2641192,53.4339394,-55301616101183770,,682614,1458653104,54,2,6,2,3
-2.2641527,53.4393324,-1799129505341421850,,342204,389182959,68,2,3,3,5
-2.2623758,53.3952924,-5980521670008845594,,57866,133941547,95,0,0,1,0
-2.2624367,53.4051797,6558309216546043622,,1147580,1137997669,70,13,7,9,5
-2.2624422,53.4060786,-8688582507733682458,,1404276,1570283133,25,3,4,5,6
-2.262481,53.4123705,-794175671944787226,,3052300,2147483647,17,5,5,4,5
-2.2625364,53.4213589,-5441153801290022170,,2336389,2147483647,93,27,17,15,14
-2.2625531,53.4240555,-5944133414741826842,,1882806,64495605,35,4,5,7,4
-2.2626418,53.4384369,-5608213471952672026,,393142,1887479749,68,4,4,3,1
-2.262664,53.4420323,-6104919003042739482,,240019,2147483647,74,0,4,0,0
-2.2626751,53.44383,4841772569815309030,,184304,1358723259,21,0,0,0,2
-2.2627028,53.4483242,605508225165856486,,90175,325261356,46,0,1,0,2
-2.2628028,53.4645032,-4914485009058255130,,3329,443382,65,0,0,0,1
-2.2608335,53.3890038,370821675946313446,,6548,1715141,76,0,0,1,1
-2.2609546,53.4087784,-6054602705832647962,,1739849,823999723,47,4,10,6,10
-2.2610152,53.4186657,5173944745410239206,,2468793,2147483647,41,5,13,10,10
-2.2610427,53.4231599,-97734301553612058,,1896287,2102350111,25,4,4,5,4
-2.2612027,53.4492263,-2768365916960627994,,79776,254568898,37,0,1,0,0
-2.2595106,53.418669,1878073865649755878,,2169677,2147483647,87,12,16,14,19
-2.259516,53.4195678,-6359262275304227098,,2106287,1364160904,51,6,13,9,21
-2.2595928,53.4321516,-3186463172877651226,,812685,648515345,34,3,2,2,3
-2.2595982,53.4330505,4728380058564737766,,739686,410591089,114,6,15,9,3
-2.2596037,53.4339493,-4347429581144011034,,671316,846774874,84,2,8,4,6
-2.2596311,53.4384435,2486736712152068838,,395876,1973773627,53,4,3,2,4
-2.2596641,53.4438366,6267195244730139366,,190361,1449504584,24,2,1,0,0
-2.2596805,53.4465331,4813593830928761574,,126493,640020756,67,2,2,0,1
-2.2597299,53.4546226,6467569402093212390,,30873,38126578,35,0,1,0,0
-2.2597574,53.4591168,8864222466996232934,,12422,6173100,100,0,0,0,1
-2.2598068,53.4672063,5538582275697341158,,1887,142519,93,1,0,0,0
-2.2579297,53.4060884,-5577176485274819866,,666429,585282661,60,3,4,5,5
-2.2580223,53.4213688,-4182704147092003098,,1743084,1274680407,80,14,12,17,9
-2.2580277,53.4222676,-5187000936324133146,,1673253,321999218,38,6,7,5,8
-2.258104,53.4348514,4541397942516936422,,594177,1236969525,97,8,3,9,6
-2.2581258,53.4384468,2641711967522112230,,391812,1845713738,22,0,1,2,3
-2.2581586,53.4438398,4768270369095828198,,191030,1459711545,28,2,1,2,1
-2.2581804,53.4474352,-4295180408545597722,,110864,491637890,160,0,1,3,0
-2.2582077,53.4519294,9205998164829418214,,51977,108065901,45,0,1,0,1
-2.2582131,53.4528282,7688969206081764070,,44196,78133039,72,0,1,0,0
-2.2582513,53.4591201,-1007389654633267482,,12805,6559335,96,0,0,0,1
-2.2563012,53.3854182,170718934345150182,,1446,83735,52,0,0,1,0
-2.2563498,53.3935078,6329635745871410918,,18705,13996281,98,0,0,0,1
-2.2564472,53.4096871,-8491193124248104218,,970408,2147483647,67,8,5,4,7
-2.256588,53.433057,3189310789920967398,,690797,1908180802,21,1,0,2,1
-2.2566368,53.4411466,-7727797502955529498,,274328,2147483647,73,0,1,3,3
-2.2566693,53.4465396,2277113781933741798,,127802,653338113,53,0,0,0,3
-2.2566856,53.4492361,-6539516393388987674,,83289,277488908,63,1,0,0,0
-2.25483,53.3908145,3919379072506815206,,7129,2033379,20,0,1,0,0
-2.2549214,53.4060949,7825575789392471782,,424709,2147483647,77,3,4,4,2
-2.2549375,53.4087914,4616863920785016550,,682100,1430554697,115,7,5,10,8
-2.2551799,53.4492393,-860152054007299354,,83175,276729335,131,0,0,3,2
-2.2536635,53.4474449,-7152446989104168218,,109205,477031817,100,2,0,1,1
-2.2520141,53.4231793,8175066055979878118,,1012516,2147483647,25,2,1,3,3
-2.2521259,53.442055,4164675140155535078,,225238,2029293901,102,1,2,2,4
-2.250504,53.4222837,2470063413266779878,,896410,2077283117,35,0,6,2,4
-2.2506151,53.4411593,-7675963362233193754,,240663,2147483647,71,1,1,3,0
-2.2489099,53.4070064,8407117540429220582,,215220,1852787428,5,0,0,1,1
-2.2489572,53.4150961,-5300423288364413210,,602759,1647866373,119,7,1,3,6
-2.2490098,53.4240845,-8275522262796308762,,763046,1814744119,40,3,0,3,2
