x,y,cell_id,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2655402,53.4204534,6504529144908220134,,522991,2147483647,22,1,0,4,3
-2.2655963,53.4294419,8685600517058320102,,326614,2147483647,38,2,1,0,5
-2.2656636,53.4402279,-6954263172235078938,,110725,490408004,58,0,1,0,1
-2.2657816,53.4591036,8320480176660514534,,21197,17973450,166,1,0,1,1
-2.2658602,53.4716873,3409797590989018854,,8594,2954358,125,1,0,0,0
-2.2641192,53.4339394,-55301616101183770,,235454,2147483647,54,2,0,0,2
-2.2641527,53.4393324,-1799129505341421850,,143420,822777572,68,0,2,1,0
-2.2641806,53.4438266,-6922193285528310042,,94944,360577360,42,0,0,1,0
-2.2625364,53.4213589,-5441153801290022170,,323405,2147483647,93,0,4,7,2
-2.2625531,53.4240555,-5944133414741826842,,374886,1326627163,35,1,0,0,2
-2.2626418,53.4384369,-5608213471952672026,,177321,1257716148,68,0,2,1,1
-2.262664,53.4420323,-6104919003042739482,,130901,685406344,74,1,0,1,2
-2.2627695,53.4591102,5228304199853583078,,33027,43632921,192,1,0,0,0
-2.2628028,53.4645032,-4914485009058255130,,22270,19839084,65,0,0,1,0
-2.2610152,53.4186657,5173944745410239206,,141558,801553503,41,1,0,0,0
-2.2610427,53.4231599,-97734301553612058,,283246,2147483647,25,0,1,1,1
-2.2595106,53.418669,1878073865649755878,,87309,304919138,87,1,0,2,1
-2.259516,53.4195678,-6359262275304227098,,110806,491122785,51,1,0,0,0
-2.2595928,53.4321516,-3186463172877651226,,279044,2147483647,34,0,0,1,0
-2.2595982,53.4330505,4728380058564737766,,271258,2147483647,114,2,2,4,6
-2.2596037,53.4339493,-4347429581144011034,,262178,2147483647,84,3,4,3,3
-2.2596311,53.4384435,2486736712152068838,,207691,1725429604,53,0,2,2,1
-2.2596805,53.4465331,4813593830928761574,,119998,575985620,67,1,1,0,0
-2.2597299,53.4546226,6467569402093212390,,66748,178214726,35,1,0,1,0
-2.2597574,53.4591168,8864222466996232934,,48389,93660913,100,0,1,0,0
-2.2598068,53.4672063,5538582275697341158,,27618,30510982,93,0,0,0,1
-2.2580223,53.4213688,-4182704147092003098,,108169,468023104,80,2,3,2,0
-2.2580277,53.4222676,-5187000936324133146,,129394,669715483,38,1,0,1,1
-2.258104,53.4348514,4541397942516936422,,246203,2147483647,97,0,3,2,3
-2.2581258,53.4384468,2641711967522112230,,214164,1834663746,22,0,1,0,1
-2.2581586,53.4438398,4768270369095828198,,158872,1009613893,28,1,0,0,0
-2.2581804,53.4474352,-4295180408545597722,,126303,638105756,160,1,1,4,2
-2.2582077,53.4519294,9205998164829418214,,93449,349310120,45,1,0,0,0
-2.2582131,53.4528282,7688969206081764070,,87904,309085803,72,1,0,1,0
-2.2582513,53.4591201,-1007389654633267482,,57197,130863581,96,0,2,0,0
