x,y,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2807386,53.4034207,release location,,,,,,,
-2.2653554,53.3907915,,1348,72754,74,0,0,0,0
-2.2655402,53.4204534,,1655521,2147483647,22,3,4,2,3
-2.2655963,53.4294419,,622130,2147483647,38,3,4,2,1
-2.2656636,53.4402279,,187886,1412056210,58,1,1,1,0
-2.2656917,53.4447221,,109877,482923407,59,0,1,0,0
-2.2657816,53.4591036,,13921,7752219,166,0,0,0,0
-2.2658602,53.4716873,,1246,62130,125,0,0,0,0
-2.2659897,53.4923604,,5,1,62,0,0,0,0
-2.2638295,53.3871995,,307,3770,80,0,0,0,0
-2.2638462,53.389896,,896,32138,101,0,0,0,0
-2.2639019,53.3988845,,37367,55852411,38,0,0,0,1
-2.2639074,53.3997833,,55600,123658013,3,1,0,0,0
-2.2639186,53.401581,,122790,603104245,38,1,1,0,0
-2.263952,53.4069741,,944707,1339115000,6,0,1,0,0
-2.2641192,53.4339394,,409350,2147483647,54,0,7,3,2
-2.2641527,53.4393324,,227043,2061946688,68,1,2,0,1
-2.2641806,53.4438266,,134712,725901297,42,0,4,1,0
-2.2643314,53.4680953,,2998,359570,27,0,0,0,0
-2.2643426,53.4698929,,2073,172007,46,0,0,0,0
-2.2644656,53.4896673,,13,7,58,0,0,0,0
-2.2645216,53.4986556,,0,0,55,0,0,0,0
-2.2622928,53.3818097,,23,22,92,0,0,0,0
-2.2623039,53.3836074,,63,161,84,0,0,0,0
-2.2623703,53.3943936,,4961,984785,13,0,0,0,0
-2.2623758,53.3952924,,7136,2036973,95,0,0,0,0
-2.2624367,53.4051797,,393624,1902632949,70,2,4,2,2
-2.2624422,53.4060786,,530558,2147483647,25,1,0,1,1
-2.262481,53.4123705,,1784818,2147483647,17,4,3,2,2
-2.2625364,53.4213589,,1445327,1954505168,93,18,10,12,14
-2.2625531,53.4240555,,1149586,1322345307,35,5,4,6,3
-2.2626418,53.4384369,,270497,2147483647,68,1,1,1,6
-2.262664,53.4420323,,180964,1309926557,74,2,2,1,1
-2.2626751,53.44383,,146684,860648929,21,0,1,0,1
-2.2627028,53.4483242,,83997,282223138,46,0,0,2,0
-2.2627695,53.4591102,,17315,11993432,192,2,0,0,0
-2.2628028,53.4645032,,6737,1815991,65,0,0,0,0
-2.2628473,53.4716939,,1596,101944,200,0,0,0,0
-2.2630309,53.5013554,,0,0,56,0,0,0,0
-2.2608335,53.3890038,,565,12786,76,0,0,0,0
-2.2609546,53.4087784,,817779,980757200,47,3,4,3,8
-2.2610152,53.4186657,,1587320,1999193512,41,3,10,4,7
-2.2610427,53.4231599,,1213940,2147483647,25,5,2,3,3
-2.2612027,53.4492263,,81362,264792065,37,0,0,0,1
-2.2614182,53.4842809,,85,289,136,0,0,0,0
-2.2615178,53.5004599,,0,0,48,0,0,0,0
-2.2593464,53.3917036,,1461,85402,73,0,0,0,0
-2.2595106,53.418669,,1426288,2147483647,87,14,13,9,9
-2.259516,53.4195678,,1391892,185147036,51,10,8,5,6
-2.2595928,53.4321516,,564224,2147483647,34,1,1,2,2
-2.2595982,53.4330505,,518968,2147483647,114,3,3,6,6
-2.2596037,53.4339493,,476668,498583188,84,1,3,4,3
-2.2596311,53.4384435,,305084,2147483647,53,1,1,0,2
-2.2596641,53.4438366,,169636,1151059088,24,1,2,3,0
-2.2596805,53.4465331,,123359,608704689,67,0,2,2,1
-2.2597299,53.4546226,,41937,70351636,35,0,0,1,0
-2.2597574,53.4591168,,20984,17613356,100,0,1,0,0
-2.2598068,53.4672063,,4980,992122,93,0,0,0,0
-2.2598233,53.4699029,,2907,338148,82,0,0,0,0
-2.2599002,53.4824865,,155,964,62,0,0,0,0
-2.2599167,53.485183,,75,226,68,0,0,0,0
-2.2599277,53.4869807,,45,83,6,0,0,0,0
-2.2577938,53.3836172,,57,131,99,0,0,0,0
-2.2578046,53.3854149,,124,617,51,0,0,0,0
-2.2578101,53.3863138,,177,1263,78,0,0,0,0
-2.2578264,53.3890103,,494,9778,62,0,0,0,0
-2.2578318,53.3899092,,690,19044,70,0,0,0,0
-2.2578644,53.3953023,,5102,1041480,25,0,0,0,0
-2.2579297,53.4060884,,238246,2147483647,60,0,1,1,2
-2.2580223,53.4213688,,1193718,1164012693,80,12,8,11,7
-2.2580277,53.4222676,,1151189,1469922991,38,5,7,3,3
-2.258104,53.4348514,,451668,2147483647,97,2,6,4,6
-2.2581258,53.4384468,,319383,2147483647,22,0,0,0,0
-2.2581586,53.4438398,,180168,1298431503,28,0,2,0,1
-2.2581804,53.4474352,,118202,558870473,160,2,1,1,1
-2.2582077,53.4519294,,66275,175699197,45,0,0,0,0
-2.2582131,53.4528282,,58588,137305798,72,2,1,1,0
-2.2582513,53.4591201,,22874,20929995,96,0,0,0,0
-2.258295,53.4663108,,6514,1697804,99,0,0,0,1
-2.2583332,53.4726026,,1826,133462,167,0,0,0,0
-2.258377,53.4797933,,345,4785,2,0,0,0,0
