x,y,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2807386,53.4034207,release location,,,,,,,
-2.2655402,53.4204534,,791903,2147483647,22,1,2,0,1
-2.2655963,53.4294419,,567754,8918168,38,1,0,2,1
-2.2656636,53.4402279,,313106,2147483647,58,1,1,3,0
-2.2656917,53.4447221,,247840,2147483647,59,0,0,1,0
-2.2657816,53.4591036,,121288,588431188,166,2,1,2,0
-2.2658602,53.4716873,,58185,135423487,125,0,2,2,0
-2.2659897,53.4923604,,9227,3405806,62,0,0,1,0
-2.2661361,53.51573,,291,3401,18,0,0,0,0
-2.26617,53.521123,,103,428,122,0,0,0,0
-2.2663223,53.5453913,,0,0,39,0,0,0,0
-2.2639019,53.3988845,,236,2231,38,0,0,0,0
-2.2639074,53.3997833,,433,7506,3,0,0,0,0
-2.2639186,53.401581,,1377,75928,38,0,0,0,0
-2.263952,53.4069741,,32889,43269469,6,0,0,0,0
-2.2641192,53.4339394,,442603,2147483647,54,4,2,1,1
-2.2641527,53.4393324,,338929,299947755,68,5,1,4,3
-2.2641806,53.4438266,,272157,2147483647,42,2,1,1,2
-2.2643314,53.4680953,,79774,254556698,27,1,0,0,0
-2.2643426,53.4698929,,71353,203652673,46,0,0,0,0
-2.2644656,53.4896673,,13751,7564244,58,0,0,0,0
-2.2645216,53.4986556,,4743,900109,55,0,0,0,0
-2.2646225,53.5148345,,387,5997,47,0,0,0,0
-2.2624367,53.4051797,,7969,2540449,70,0,0,0,0
-2.2624422,53.4060786,,12915,6672899,25,1,0,0,0
-2.262481,53.4123705,,166014,1102438636,17,0,0,0,1
-2.2625364,53.4213589,,540114,2147483647,93,6,5,5,4
-2.2625531,53.4240555,,562368,2147483647,35,4,1,3,1
-2.2626418,53.4384369,,358108,834704170,68,2,3,3,2
-2.262664,53.4420323,,305212,2147483647,74,1,4,2,0
-2.2626751,53.44383,,281683,2147483647,21,0,0,0,1
-2.2627028,53.4483242,,230508,2125374459,46,3,1,1,1
-2.2627695,53.4591102,,139955,783507145,192,5,6,3,3
-2.2628028,53.4645032,,105841,448094242,65,0,0,0,0
-2.2628473,53.4716939,,68804,189363486,200,2,4,1,0
-2.2630309,53.5013554,,3660,535888,56,0,0,0,0
-2.2630699,53.5076472,,1449,84097,77,1,0,0,0
-2.2631144,53.5148379,,434,7546,31,0,0,0,0
-2.2631423,53.519332,,188,1417,208,0,0,0,0
-2.2632371,53.5346121,,6,1,3,0,0,0,0
-2.2609546,53.4087784,,29660,35190521,47,0,0,1,0
-2.2610152,53.4186657,,352490,675019271,41,3,1,1,0
-2.2610427,53.4231599,,465857,90982034,25,0,1,1,2
-2.2612027,53.4492263,,230220,2120053350,37,0,1,2,1
-2.2614182,53.4842809,,28017,31399177,136,0,1,1,1
