x,y,cell_id,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2655402,53.4204534,6504529144908220134,,1274606,560352360,22,3,1,4,0
-2.2655963,53.4294419,8685600517058320102,,563561,2147483647,38,3,3,1,4
-2.2656636,53.4402279,-6954263172235078938,,215211,1852637308,58,2,1,0,1
-2.2656917,53.4447221,-7903444783360770330,,149690,896293387,59,1,4,1,1
-2.2657816,53.4591036,8320480176660514534,,46610,86903273,166,2,0,1,0
-2.2658602,53.4716873,3409797590989018854,,13262,7035606,125,0,0,1,0
-2.2659897,53.4923604,-2365718945364224282,,665,17704,62,0,0,1,0
-2.2641192,53.4339394,-55301616101183770,,403711,2147483647,54,5,2,3,2
-2.2641527,53.4393324,-1799129505341421850,,257343,2147483647,68,5,4,2,0
-2.2641806,53.4438266,-6922193285528310042,,180049,1296715159,42,0,2,0,1
-2.2624367,53.4051797,6558309216546043622,,45467,82693501,70,0,2,2,0
-2.2624422,53.4060786,-8688582507733682458,,71806,206247966,25,0,1,0,0
-2.262481,53.4123705,-794175671944787226,,649267,2147483647,17,1,1,1,0
-2.2625364,53.4213589,-5441153801290022170,,1044921,724739231,93,12,6,9,6
-2.2625531,53.4240555,-5944133414741826842,,911691,2147483647,35,3,2,1,3
-2.2626418,53.4384369,-5608213471952672026,,302379,2147483647,68,1,1,1,3
-2.262664,53.4420323,-6104919003042739482,,228804,2094063355,74,0,0,1,2
-2.2626751,53.44383,4841772569815309030,,199439,1591044376,21,0,2,0,1
-2.2627028,53.4483242,605508225165856486,,141768,803932759,46,1,1,0,0
-2.2627695,53.4591102,5228304199853583078,,59875,143404498,192,1,1,1,0
-2.2609546,53.4087784,-6054602705832647962,,157917,997511570,47,1,1,3,0
-2.2610152,53.4186657,5173944745410239206,,934390,563700549,41,4,2,0,4
-2.2610427,53.4231599,-97734301553612058,,896378,2075003816,25,1,1,2,3
-2.2612027,53.4492263,-2768365916960627994,,146591,859565593,37,1,1,0,0
-2.2595106,53.418669,1878073865649755878,,775839,2147483647,87,10,6,6,5
-2.259516,53.4195678,-6359262275304227098,,805007,151682838,51,6,1,4,4
-2.2595928,53.4321516,-3186463172877651226,,531439,2147483647,34,1,2,4,2
-2.2595982,53.4330505,4728380058564737766,,501064,1452709514,114,12,4,1,4
-2.2596037,53.4339493,-4347429581144011034,,471898,317611909,84,3,1,5,3
-2.2596311,53.4384435,2486736712152068838,,346229,500022724,53,1,3,3,1
-2.2596641,53.4438366,6267195244730139366,,236800,2147483647,24,0,1,1,1
-2.2596805,53.4465331,4813593830928761574,,195428,1527686805,67,0,0,3,2
-2.2597299,53.4546226,6467569402093212390,,107338,460860339,35,1,0,1,0
