x,y,cell_id,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2655402,53.4204534,6504529144908220134,,920293,2147483647,22,2,2,2,1
-2.2655963,53.4294419,8685600517058320102,,797209,2147483647,38,0,7,3,0
-2.2656636,53.4402279,-6954263172235078938,,360975,917158170,58,4,6,1,3
-2.2656917,53.4447221,-7903444783360770330,,257281,2147483647,59,1,4,2,1
-2.2657816,53.4591036,8320480176660514534,,97288,378599323,166,1,0,3,2
-2.2658602,53.4716873,3409797590989018854,,46893,87960604,125,2,0,2,1
-2.2663223,53.5453913,5361302605802739430,,566,12831,39,0,0,0,1
-2.2641192,53.4339394,-55301616101183770,,610536,2025269937,54,4,4,1,3
-2.2641527,53.4393324,-1799129505341421850,,428603,2147483647,68,5,2,4,2
-2.2641806,53.4438266,-6922193285528310042,,314329,2147483647,42,1,0,0,3
-2.2645216,53.4986556,-7877119818569645338,,14695,8638373,55,0,0,1,0
-2.2625364,53.4213589,-5441153801290022170,,510370,1829193245,93,4,1,2,4
-2.2625531,53.4240555,-5944133414741826842,,651531,2147483647,35,3,5,3,4
-2.2626418,53.4384369,-5608213471952672026,,484506,799940805,68,5,5,2,1
-2.262664,53.4420323,-6104919003042739482,,390808,1814283296,74,2,2,2,3
-2.2626751,53.44383,4841772569815309030,,349673,595905839,21,0,1,0,0
-2.2627028,53.4483242,605508225165856486,,264111,2147483647,46,0,0,1,0
-2.2627695,53.4591102,5228304199853583078,,137303,754085974,192,5,3,4,0
-2.2628028,53.4645032,-4914485009058255130,,100723,405812222,65,1,0,2,1
-2.2628473,53.4716939,-4730014491813090586,,67871,184262781,200,2,1,1,1
-2.2631144,53.5148379,-3073497136195454234,,7763,2410715,31,0,0,1,0
-2.2610152,53.4186657,5173944745410239206,,193879,1503569142,41,0,1,2,0
-2.2610427,53.4231599,-97734301553612058,,446041,2147483647,25,0,2,1,3
-2.2612027,53.4492263,-2768365916960627994,,279650,2147483647,37,1,2,1,0
-2.2595106,53.418669,1878073865649755878,,114441,523877592,87,1,2,1,2
-2.259516,53.4195678,-6359262275304227098,,148307,879802737,51,3,1,0,0
-2.2595928,53.4321516,-3186463172877651226,,554372,2147483647,34,1,2,2,1
-2.2595982,53.4330505,4728380058564737766,,554207,2147483647,114,2,10,3,8
-2.2596037,53.4339493,-4347429581144011034,,550600,2147483647,84,1,8,4,2
-2.2596311,53.4384435,2486736712152068838,,496600,1274541284,53,1,4,3,2
-2.2596641,53.4438366,6267195244730139366,,399218,2080064087,24,1,0,0,0
-2.2596805,53.4465331,4813593830928761574,,350896,630180705,67,7,2,4,2
-2.2597299,53.4546226,6467569402093212390,,230796,2130675505,35,1,2,1,2
-2.2597574,53.4591168,8864222466996232934,,181654,1319934140,100,3,1,2,1
-2.2598068,53.4672063,5538582275697341158,,118453,561253567,93,2,0,1,0
-2.2598233,53.4699029,5428003152784542438,,102961,424039752,82,2,0,2,1
-2.2599002,53.4824865,1937378668414715622,,54635,119399379,62,1,0,0,0
-2.2599167,53.485183,5081524606056243942,,47898,91771962,68,0,0,2,1
-2.2580223,53.4213688,-4182704147092003098,,144779,838446352,80,0,2,2,2
-2.2580277,53.4222676,-5187000936324133146,,177303,1257459988,38,0,0,0,1
-2.258104,53.4348514,4541397942516936422,,497113,1294932635,97,9,6,2,4
-2.2581258,53.4384468,2641711967522112230,,479769,617232598,22,1,2,3,0
-2.2581586,53.4438398,4768270369095828198,,410040,2147483647,28,0,0,0,1
-2.2581804,53.4474352,-4295180408545597722,,355034,747011395,160,5,8,2,7
-2.2582077,53.4519294,9205998164829418214,,289677,2147483647,45,2,0,0,2
-2.2582131,53.4528282,7688969206081764070,,277578,2147483647,72,1,3,1,2
-2.2582513,53.4591201,-1007389654633267482,,203871,1662537601,96,6,2,5,2
-2.258295,53.4663108,-3233283323207055642,,142067,807322230,99,2,1,0,2
-2.2583332,53.4726026,1459857957755788006,,103703,430180515,167,1,2,0,1
-2.2585137,53.5022641,-5992403126214425882,,24905,24811849,97,0,0,0,2
-2.2586232,53.5202407,-418218863092877594,,9717,3777440,48,1,0,0,0
-2.256588,53.433057,3189310789920967398,,418959,2147483647,21,0,0,1,0
-2.2566368,53.4411466,-7727797502955529498,,436082,2147483647,73,3,4,0,2
-2.2566693,53.4465396,2277113781933741798,,378521,1436161757,53,2,4,1,0
-2.2566856,53.4492361,-6539516393388987674,,343822,433585572,63,2,1,4,1
-2.2567127,53.4537303,-4155465383613604122,,286443,2147483647,74,2,4,3,2
-2.2567236,53.455528,3644611249090808550,,264845,2147483647,76,0,1,2,1
-2.2567778,53.4645164,2260235857620370150,,174721,1221104439,113,0,1,1,1
-2.2568539,53.4771001,-682958741977944346,,95643,365909268,21,0,1,0,0
-2.2568702,53.4797966,1963039215706292966,,84117,283029842,112,1,1,0,2
-2.2568919,53.4833919,-525235792793170202,,70949,201352580,326,5,1,2,0
-2.2551799,53.4492393,-860152054007299354,,352684,680476127,131,7,7,5,3
-2.2552824,53.4663173,5793172649282262758,,178569,1275480239,129,4,3,1,0
-2.2554932,53.5013718,-158159025146785050,,35525,50481797,74,0,1,0,0
-2.2555202,53.5058659,6673074221816139494,,28668,32876025,90,0,0,0,1
-2.2555364,53.5085624,-781433892062738714,,25122,25245536,114,1,0,0,0
-2.2556231,53.5229437,4978291221835221734,,11527,5314910,75,0,0,1,0
-2.2536635,53.4474449,-7152446989104168218,,367032,1093537673,100,2,2,3,4
-2.2537224,53.4573321,-3808541654196958490,,278773,2147483647,68,4,3,2,1
-2.2537654,53.4645228,6611880053056355046,,211295,1785836426,72,2,3,0,0
-2.2537976,53.4699158,56118646441252582,,168349,1133666703,104,0,3,1,2
-2.2539157,53.4896902,-3352035843012958490,,69971,195841130,143,0,1,2,2
-2.2541255,53.5247446,4639672873337064166,,12111,5867358,102,0,0,1,0
-2.2541309,53.5256434,-5418371029922270490,,11455,5249467,112,0,0,0,1
-2.2520141,53.4231793,8175066055979878118,,36567,53486048,25,0,0,0,1
-2.2521259,53.442055,4164675140155535078,,349200,582675157,102,5,1,4,5
-2.2525155,53.50767,-8523066058572685594,,35201,49566376,240,1,2,1,0
-2.2525369,53.5112653,533636608299457254,,29536,34895301,84,1,0,0,0
-2.250504,53.4222837,2470063413266779878,,17134,11743873,35,0,1,0,0
-2.2506151,53.4411593,-7675963362233193754,,302529,2147483647,71,4,3,3,5
-2.2507211,53.4591361,-719289685966638362,,283969,2147483647,69,3,1,1,1
-2.2507582,53.465428,-8085232327441485082,,234227,2147483647,67,2,0,3,0
-2.2508271,53.4771129,354019376690542310,,151162,914004683,26,2,0,0,0
-2.2509439,53.4968872,8701268345528589030,,65781,173088778,84,0,1,0,2
-2.2509811,53.503179,9001486773051360998,,49706,98828013,97,0,0,1,0
-2.2509865,53.5040779,3399684597462979302,,47710,91050142,124,1,0,0,0
-2.2510024,53.5067744,-2557810717951218970,,42115,70949131,141,1,2,1,3
-2.2510822,53.5202568,1735569156278254310,,21257,18074843,102,0,1,0,0
-2.2510875,53.5211556,-7503624619309709594,,20212,16341169,116,0,0,1,0
-2.2490518,53.4312752,8508474655642063590,,99291,394352238,125,1,1,2,2
-2.2491413,53.4465555,-499528539499273498,,309365,2147483647,70,1,0,1,2
-2.2491992,53.4564428,-1262665151373865242,,303957,2147483647,97,3,1,3,1
-2.2494683,53.5022834,7610659751882740454,,58725,137948073,96,0,1,0,0
-2.2494841,53.5049799,6680654625974899430,,52057,108400144,6,0,0,1,0
-2.2495317,53.5130693,-1206532777375000858,,35552,50560168,57,0,0,1,0
-2.2495581,53.5175635,8542566315400676070,,28273,31975816,130,0,0,1,1
-2.2475468,53.4312784,-6467714298833766682,,71550,204781676,92,1,0,1,0
-2.2475625,53.4339749,4427247138321140454,,109676,481158964,8,1,0,0,0
-2.2476933,53.4564459,-7653867988964343066,,299504,2147483647,97,3,3,2,3
-2.2477614,53.4681308,-6949652550291979546,,237306,2147483647,180,6,4,6,4
-2.2477718,53.4699285,7308690779256960742,,225241,2029344974,138,1,4,1,3
-2.2479869,53.5067807,8567002034274011878,,54267,117800230,48,0,1,0,1
-2.2480132,53.5112748,4516584862314142438,,44092,77764521,96,0,1,1,2
-2.2480868,53.5238584,-3352651579521732890,,22884,20948359,47,1,1,1,0
-2.2460469,53.4321803,-4748077364415549722,,60348,145677525,45,0,0,2,0
-2.2461665,53.4528537,5070807781310827238,,286692,2147483647,99,2,4,2,2
-2.2461769,53.4546513,-3174668191766150426,,290054,2147483647,43,0,1,2,2
-2.2461977,53.4582467,8907491340653719270,,288270,2147483647,85,4,3,4,2
-2.2462029,53.4591455,1806973407087882982,,286310,2147483647,36,1,2,0,2
-2.2464479,53.5013908,9046431901032484582,,76851,236247478,103,0,2,0,0
-2.2464844,53.5076826,6371666428633346790,,58623,137469909,69,1,1,0,0
-2.2464896,53.5085814,4055172485273683686,,56313,126847473,115,0,1,1,0
-2.2465627,53.5211651,-8376101175673822490,,30330,36797827,59,1,1,0,0
-2.2445521,53.4339811,1769455742939329254,,60059,144285512,97,1,1,0,1
-2.2446141,53.4447672,-757688021104144666,,196206,1539881669,55,0,0,1,1
-2.2447849,53.4744289,6122213781337848550,,216802,1880135500,111,1,2,0,0
-2.2449559,53.5040904,-6798064982966678810,,76353,233194910,122,0,0,1,2
-2.2450597,53.522067,7283674546815244006,,32720,42825489,48,1,1,1,0
-2.2430829,53.4402761,-7297340031951181082,,109645,480881517,55,0,1,0,1
-2.2431343,53.4492645,17445471515811558,,214213,1835494966,87,1,0,2,4
-2.2431805,53.457354,-9146397060401701146,,263715,2147483647,90,1,6,2,3
-2.2432114,53.4627471,-8584255067675725082,,267159,2147483647,72,1,3,2,0
-2.243268,53.4726343,3430661211339613926,,233651,2147483647,300,5,3,8,9
-2.2434586,53.5058911,737089819472938726,,78457,246224094,94,0,0,2,0
-2.2415673,53.4384814,8680781882765783782,,67687,183262136,75,0,0,1,2
-2.2415826,53.441178,2134388145120086758,,95821,367269132,46,1,1,0,0
-2.2417563,53.4717385,-8856656228966394138,,241185,2147483647,456,11,11,3,13
-2.2417717,53.474435,-5335441571831362842,,230129,2118383890,361,8,8,10,8
-2.2419816,53.5112872,-4844758757947614490,,69009,190492261,58,0,0,0,1
-2.2420329,53.5202755,9042363853181919974,,45321,82161418,110,1,1,1,1
-2.2400113,53.4294961,8670404234424253158,,7440,2214158,74,0,0,1,0
-2.2401178,53.4483717,-410353829836573978,,150685,908248188,91,1,0,1,1
-2.2401584,53.4555625,8135992453152823014,,215448,1856716818,219,4,9,6,4
-2.2401635,53.4564613,8928120638947925734,,221411,1960916895,84,4,4,2,2
-2.2401686,53.4573601,-4265649850451097882,,226811,2057729942,45,1,1,1,2
-2.2402143,53.4654497,2588700125718717158,,250092,2147483647,67,1,4,2,1
-2.2402244,53.4672474,3722726391797553894,,249644,2147483647,209,2,6,5,3
-2.2402549,53.4726404,-4165283725814934810,,239117,2147483647,391,8,8,5,12
-2.2402753,53.4762357,2069696025458255590,,226497,2052041973,68,2,1,2,2
-2.2405552,53.5256715,9047955976678922982,,38020,57820851,72,1,1,0,1
-2.2406062,53.5346598,-7553410006353083674,,22043,19436737,93,1,3,0,0
-2.2385668,53.4402852,-8913844776342746394,,51188,104812470,73,1,1,0,0
-2.2386777,53.4600597,1507626098616324838,,222093,1973015227,35,1,2,0,1
-2.2387635,53.4753399,-2367741057041241370,,231429,2142393788,475,11,13,13,12
-2.2389304,53.5050014,4127843880674249446,,106036,449748954,69,0,1,1,1
-2.2389405,53.5067991,-6928961369993944346,,99191,393558329,86,0,1,0,4
-2.2389607,53.5103944,6869085253351551718,,86238,297481743,212,2,1,1,2
-2.2389709,53.5121921,1082714561276011238,,80133,256857244,79,2,0,0,1
-2.2370614,53.4402882,5088858815127454438,,38902,60537517,84,0,0,0,1
-2.2371566,53.4573662,5301323720246154982,,185081,1370199627,150,4,1,2,4
-2.2373121,53.4852301,1488031795549406950,,199220,1587555673,88,2,1,2,1
-2.2373322,53.4888255,-1381244266462303514,,184047,1354935529,48,1,0,0,2
-2.237473,53.5139928,-5896999888727073050,,81059,262822838,68,2,0,1,1
-2.2375082,53.5202846,875766678654936806,,61302,150320068,84,0,0,0,1
-2.2356157,53.4510773,9004721890016331494,,109787,482135725,125,1,3,0,3
-2.2357503,53.4753459,-4785219550146097434,,227215,2065069926,640,14,11,16,17
-2.2357852,53.4816378,6679144152484280038,,215135,1851326324,141,2,3,0,2
-2.23593,53.5077039,1653335463837167334,,111456,496898679,92,2,0,1,0
-2.235985,53.5175911,4566338259240275686,,75631,228804206,99,0,1,2,0
-2.236025,53.5247817,-7566956899198550298,,53893,116181948,135,1,2,1,0
-2.268578,53.4249409,6092494660767022822,,1108237,1882932464,3,1,2,0,0
-2.2686801,53.44112,1561323099836115686,,243761,2147483647,77,4,0,2,0
-2.2687482,53.4519061,592912121648589542,,104718,438639449,16,0,0,0,1
-2.2687539,53.4528049,4435147735059116774,,98308,386585355,95,1,0,4,0
-2.2688334,53.4653887,-8738292539663768858,,44194,78125930,226,3,1,3,2
-2.2690269,53.495949,-7075355329554681114,,9240,3415526,43,0,0,1,0
-2.2671803,53.4420223,8472544758162132710,,270384,2147483647,52,4,1,2,0
-2.2672142,53.4474153,8694117606224232166,,177701,1263108379,207,3,2,7,4
-2.2675478,53.5004465,-8099383334000059674,,9130,3334938,75,0,0,1,0
-2.2835186,53.4087269,3087112355122137830,,260896,2147483647,85,4,4,3,2
-2.282056,53.4150224,-8879952954009294106,,291888,2147483647,50,3,0,4,0
-2.280516,53.4096329,-6273292361791023386,,3549565,1465508604,5,2,0,2,1
-2.2806759,53.4339016,6531833516955834086,,40373,65199392,66,0,0,1,0
-2.2807411,53.4437888,-6316401358366248218,,17939,12872457,58,1,0,0,0
-2.2807886,53.4509795,-7274250121121723674,,11318,5124336,132,0,0,1,0
-2.2789999,53.4078387,125028254233245414,,19564568,2147483647,20,19,18,15,16
-2.2790235,53.4114341,1397196653590858470,,3919629,359586591,47,19,15,15,15
-2.2792061,53.4392982,2688314833196445414,,37381,55895557,130,0,1,0,0
-2.2794955,53.4833411,-2985987379193712922,,3186,406186,79,1,0,0,0
-2.2775074,53.4096399,4947301433501199078,,10990478,2147483647,82,59,50,48,59
-2.2777067,53.4402005,1856372631446302438,,50138,100554292,90,1,0,0,1
-2.2777125,53.4410994,-6327396498288151834,,46368,86002385,118,0,1,1,0
-2.2777301,53.4437959,-366145251308531994,,37140,55176089,66,0,1,0,0
-2.2760031,53.4096434,-8820616222601541914,,9229161,1188118209,58,34,36,41,32
-2.2760206,53.4123399,5726773707050736358,,5554844,1596080291,73,30,22,26,22
-2.276143,53.4312156,-994356348131164442,,185148,1371204065,66,2,1,1,1
-2.2761954,53.4393052,2476614203591677670,,77017,237270099,84,1,1,1,0
-2.2762246,53.4437994,-5678218201772311834,,51860,107582086,150,1,0,0,0
-2.2763064,53.4563831,-208086630783149338,,21352,18237193,110,0,0,1,0
-2.2744872,53.4078492,5587628396275936998,,3070205,2147483647,46,5,9,14,12
-2.274493,53.408748,-154122749003444506,,4417908,2147483647,56,21,18,25,21
-2.2746959,53.4402075,-7173369861790438682,,97545,380606636,89,0,1,2,1
-2.2747365,53.4464994,-632038895201866010,,56894,129480530,92,1,0,1,1
-2.2747539,53.4491959,6640224095240627942,,46363,85984008,37,1,1,0,0
-2.2730118,53.4123469,-3201484322756805914,,3657846,2147483647,77,16,23,16,28
-2.2731213,53.4294249,-8789908181581459738,,432730,2147483647,65,1,1,3,2
-2.2732078,53.4429075,-4842740103576091930,,102253,418235194,17,1,0,1,0
-2.2732714,53.4527947,2616356044115728102,,47460,90101839,55,0,0,0,2
-2.2715074,53.4123503,-2913805330674472218,,2204414,1104205928,69,15,12,14,11
-2.2716392,53.4330237,1585952286364752614,,357233,809676870,46,0,2,2,2
-2.2717081,53.4438097,-1287406204744597786,,123290,608019488,125,1,1,1,1
-2.2717196,53.4456074,-7710881299375691034,,106063,449975724,65,0,1,0,0
-2.2717368,53.4483039,-8606497867196690714,,85627,293282932,70,0,0,1,1
-2.2720531,53.4977398,2270655851764042470,,5536,1226001,114,0,0,1,1
-2.270003,53.4123537,8289595978423360230,,1171227,2147483647,49,6,4,3,4
-2.2700942,53.4267352,7912825851091262182,,876675,677617067,15,1,2,2,1
-2.2701627,53.4375213,-2508114947966684442,,277533,2147483647,131,3,3,2,2
