x,y,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2807386,53.4034207,release location,,,,,,,
-2.2653554,53.3907915,,629,15857,74,0,0,0,0
-2.2655402,53.4204534,,1500945,2147483647,22,1,3,4,7
-2.2655963,53.4294419,,545043,2147483647,38,1,3,3,2
-2.2656636,53.4402279,,167668,1124514371,58,2,1,0,2
-2.2656917,53.4447221,,101009,408117078,59,2,1,0,0
-2.2657816,53.4591036,,15044,9053041,166,0,0,1,0
-2.2658602,53.4716873,,1646,108423,125,0,0,0,0
-2.2659897,53.4923604,,10,4,62,0,0,0,0
-2.2638295,53.3871995,,128,657,80,0,0,0,0
-2.2638462,53.389896,,413,6834,101,0,0,0,0
-2.2639019,53.3988845,,22044,19437770,38,0,0,0,0
-2.2639074,53.3997833,,33883,45924374,3,0,0,0,0
-2.2639186,53.401581,,80217,257395103,38,1,0,0,0
-2.263952,53.4069741,,762485,1780534593,6,0,2,0,1
-2.2641192,53.4339394,,363410,987710965,54,3,2,2,0
-2.2641527,53.4393324,,204671,1675612136,68,2,2,0,1
-2.2641806,53.4438266,,124732,622330099,42,0,0,0,2
-2.2643314,53.4680953,,3767,567731,27,0,0,0,0
-2.2643426,53.4698929,,2686,288641,46,0,0,0,0
-2.2644656,53.4896673,,26,28,58,0,0,0,0
-2.2645216,53.4986556,,1,0,55,0,0,0,0
-2.2623039,53.3836074,,17,12,84,0,0,0,0
-2.2623703,53.3943936,,2575,265231,13,0,0,0,0
-2.2623758,53.3952924,,3788,573999,95,0,0,0,0
-2.2624367,53.4051797,,293897,2147483647,70,2,0,2,2
-2.2624422,53.4060786,,409346,2147483647,25,0,0,0,1
-2.262481,53.4123705,,1606414,143514105,17,3,3,4,3
-2.2625364,53.4213589,,1330564,2096624860,93,7,12,14,8
-2.2625531,53.4240555,,1049865,1139002201,35,4,6,2,8
-2.2626418,53.4384369,,246420,2147483647,68,1,2,6,1
-2.262664,53.4420323,,167888,1127456235,74,0,0,0,1
-2.2626751,53.44383,,137726,758747047,21,0,1,0,0
-2.2627028,53.4483242,,81899,268304322,46,0,0,0,0
-2.2627695,53.4591102,,19184,14722485,192,0,1,0,0
-2.2628028,53.4645032,,8085,2615171,65,0,0,0,0
-2.2628473,53.4716939,,2159,186533,200,0,0,0,0
-2.2630309,53.5013554,,0,0,56,0,0,0,0
-2.2630699,53.5076472,,0,0,77,0,0,0,0
-2.2608335,53.3890038,,261,2724,76,0,0,0,0
-2.2609546,53.4087784,,677494,1180083507,47,3,2,5,1
-2.2610152,53.4186657,,1473846,989649711,41,8,4,7,5
-2.2610427,53.4231599,,1121710,2147483647,25,1,3,4,1
-2.2612027,53.4492263,,81106,263129537,37,1,2,1,0
-2.2614182,53.4842809,,148,882,136,0,0,0,0
-2.2615178,53.5004599,,1,0,48,0,0,0,0
-2.2593464,53.3917036,,726,21114,73,0,0,0,0
-2.2595106,53.418669,,1326378,1651705421,87,11,10,16,13
-2.259516,53.4195678,,1296411,2147483647,51,4,5,9,6
-2.2595928,53.4321516,,521201,2147483647,34,2,3,0,0
-2.2595982,53.4330505,,479713,615076782,114,2,4,8,4
-2.2596037,53.4339493,,441086,2147483647,84,1,5,6,4
-2.2596311,53.4384435,,285754,2147483647,53,1,0,0,2
-2.2596641,53.4438366,,163728,1072275263,24,0,1,0,1
-2.2596805,53.4465331,,121599,591454820,67,1,1,0,3
-2.2597299,53.4546226,,44956,80844698,35,0,0,0,1
-2.2597574,53.4591168,,23848,22750035,100,0,0,0,1
-2.2598068,53.4672063,,6396,1636426,93,0,0,0,0
-2.2598233,53.4699029,,3906,610355,82,0,0,0,0
-2.2599002,53.4824865,,264,2793,62,0,0,0,0
-2.2599167,53.485183,,135,738,68,0,0,0,0
-2.2599277,53.4869807,,85,293,6,0,0,0,0
-2.2577938,53.3836172,,17,11,99,0,0,0,0
-2.2578046,53.3854149,,49,98,51,0,0,0,0
-2.2578101,53.3863138,,75,229,78,0,0,0,0
-2.2578264,53.3890103,,234,2199,62,0,0,0,0
-2.2578318,53.3899092,,334,4464,70,0,0,0,0
-2.2578644,53.3953023,,2758,304285,25,0,0,0,0
-2.2579297,53.4060884,,177883,1265695475,60,3,2,0,0
-2.2580223,53.4213688,,1117144,2147483647,80,7,11,9,12
-2.2580277,53.4222676,,1078052,2147483647,38,2,6,5,6
-2.258104,53.4348514,,423985,2147483647,97,8,3,5,7
-2.2581258,53.4384468,,303169,2147483647,22,1,0,0,0
-2.2581586,53.4438398,,176268,1242819847,28,0,0,0,1
-2.2581804,53.4474352,,119024,566669303,160,3,2,2,3
-2.2582077,53.4519294,,69778,194760575,45,0,0,1,0
-2.2582131,53.4528282,,62305,155281413,72,0,0,0,1
-2.2582513,53.4591201,,26334,27740016,96,0,0,0,1
-2.258295,53.4663108,,8350,2789361,99,0,0,1,0
-2.2583332,53.4726026,,2604,271268,167,0,0,0,0
-2.258377,53.4797933,,564,12742,2,0,0,0,0
