x,y,cell_id,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2653554,53.3907915,-6457656585742030106,,58911,138824914,74,0,2,0,1
-2.2655402,53.4204534,6504529144908220134,,1482834,2052599419,22,0,3,3,2
-2.2655963,53.4294419,8685600517058320102,,485428,835695293,38,5,1,2,3
-2.2656636,53.4402279,-6954263172235078938,,79890,255299271,58,1,0,3,0
-2.2656917,53.4447221,-7903444783360770330,,31957,40852354,59,0,0,0,1
-2.2638295,53.3871995,1728519695805379302,,17815,12695851,80,0,0,1,1
-2.2638462,53.389896,5509500525831859942,,39111,61188631,101,0,0,1,0
-2.2639019,53.3988845,5709843737958459110,,431111,2147483647,38,4,0,5,0
-2.2639186,53.401581,8774893376785942246,,785741,2147483647,38,2,0,4,5
-2.263952,53.4069741,-2540649673480081690,,1784748,2147483647,6,0,2,1,2
-2.2641192,53.4339394,-55301616101183770,,227505,2070352007,54,1,1,3,1
-2.2641527,53.4393324,-1799129505341421850,,89458,320113355,68,0,0,1,1
-2.2641806,53.4438266,-6922193285528310042,,36806,54189881,42,0,0,1,1
-2.2623703,53.3943936,2418445914488973030,,113320,513665459,13,0,1,1,0
-2.2623758,53.3952924,-5980521670008845594,,142929,817150155,95,1,0,3,0
-2.2624367,53.4051797,6558309216546043622,,1097975,977352368,70,5,9,9,9
-2.2624422,53.4060786,-8688582507733682458,,1227088,100304751,25,4,4,5,1
-2.262481,53.4123705,-794175671944787226,,1694896,2147483647,17,4,2,3,1
-2.2625364,53.4213589,-5441153801290022170,,1028735,2147483647,93,11,11,13,8
-2.2625531,53.4240555,-5944133414741826842,,783808,2147483647,35,2,3,1,3
-2.2626418,53.4384369,-5608213471952672026,,98412,387399217,68,2,0,1,0
-2.2626751,53.44383,4841772569815309030,,34663,48063016,21,0,0,0,1
-2.2609546,53.4087784,-6054602705832647962,,1188753,690857893,47,7,8,4,8
-2.2610152,53.4186657,5173944745410239206,,1084617,2147483647,41,6,6,3,6
-2.2610427,53.4231599,-97734301553612058,,750303,1043366908,25,4,1,1,4
-2.2593464,53.3917036,-6774323196705004826,,38546,59432843,73,1,1,1,0
-2.2595106,53.418669,1878073865649755878,,904781,2147483647,87,10,9,6,9
-2.259516,53.4195678,-6359262275304227098,,856473,2147483647,51,4,7,3,4
-2.2595928,53.4321516,-3186463172877651226,,225121,2027192866,34,1,0,2,1
-2.2595982,53.4330505,4728380058564737766,,197714,1563634684,114,2,1,6,3
-2.2596037,53.4339493,-4347429581144011034,,172911,1195941092,84,0,2,2,1
-2.2596311,53.4384435,2486736712152068838,,83002,275578553,53,0,2,1,0
-2.2596805,53.4465331,4813593830928761574,,16884,11403307,67,0,1,0,0
-2.2578318,53.3899092,8212308234787922662,,19875,15801623,70,1,0,0,0
-2.2578644,53.3953023,-3614060759773717786,,77576,240723103,25,0,0,1,0
