x,y,cell_id,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2655402,53.4204534,6504529144908220134,,1757326,2147483647,22,2,2,4,7
-2.2655963,53.4294419,8685600517058320102,,667528,643889098,38,3,3,0,1
-2.2656636,53.4402279,-6954263172235078938,,192784,1486629763,58,3,0,0,0
-2.2656917,53.4447221,-7903444783360770330,,108450,470457930,59,0,0,1,0
-2.2639019,53.3988845,5709843737958459110,,59234,140348006,38,0,1,0,1
-2.2639186,53.401581,8774893376785942246,,177974,1267003664,38,1,1,0,0
-2.263952,53.4069741,-2540649673480081690,,1135330,19431847,6,0,0,0,1
-2.2641192,53.4339394,-55301616101183770,,429461,2147483647,54,3,3,1,1
-2.2641527,53.4393324,-1799129505341421850,,231569,2144974984,68,2,2,1,2
-2.2641806,53.4438266,-6922193285528310042,,132499,702249769,42,2,0,0,0
-2.2623758,53.3952924,-5980521670008845594,,12401,6152139,95,0,0,1,0
-2.2624367,53.4051797,6558309216546043622,,506940,1689628297,70,0,8,1,5
-2.2624422,53.4060786,-8688582507733682458,,663657,437771277,25,4,3,2,2
-2.262481,53.4123705,-794175671944787226,,1938023,2147483647,17,4,6,3,2
-2.2625364,53.4213589,-5441153801290022170,,1513955,1488134555,93,8,12,12,14
-2.2625531,53.4240555,-5944133414741826842,,1205835,2147483647,35,6,5,7,6
-2.2626418,53.4384369,-5608213471952672026,,274139,2147483647,68,2,0,2,1
-2.262664,53.4420323,-6104919003042739482,,178650,1276640568,74,1,1,0,3
-2.2627028,53.4483242,605508225165856486,,77970,243176858,46,0,0,1,1
-2.2627695,53.4591102,5228304199853583078,,13900,7729048,192,1,0,0,1
-2.2628473,53.4716939,-4730014491813090586,,1031,42555,200,0,0,1,0
-2.2609546,53.4087784,-6054602705832647962,,959201,2147483647,47,9,3,3,5
-2.2610152,53.4186657,5173944745410239206,,1660284,2147483647,41,3,3,8,5
-2.2610427,53.4231599,-97734301553612058,,1263644,2147483647,25,2,2,2,4
-2.2612027,53.4492263,-2768365916960627994,,73881,218337507,37,0,0,1,0
-2.2595106,53.418669,1878073865649755878,,1490734,2147483647,87,7,12,11,11
-2.259516,53.4195678,-6359262275304227098,,1450307,2147483647,51,9,7,4,6
-2.2595928,53.4321516,-3186463172877651226,,575154,347221964,34,3,0,2,4
-2.2595982,53.4330505,4728380058564737766,,527446,2147483647,114,8,7,2,9
-2.2596037,53.4339493,-4347429581144011034,,482817,734593697,84,2,5,7,2
