x,y,cell_id,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2655402,53.4204534,6504529144908220134,,536602,2147483647,22,2,1,2,1
-2.2655963,53.4294419,8685600517058320102,,729458,2147483647,38,1,1,0,6
-2.2656636,53.4402279,-6954263172235078938,,552705,2147483647,58,4,2,3,6
-2.2656917,53.4447221,-7903444783360770330,,473598,381872757,59,4,2,2,2
-2.2657816,53.4591036,8320480176660514534,,294454,2147483647,166,4,3,4,7
-2.2658602,53.4716873,3409797590989018854,,202663,1642900427,125,1,1,0,0
-2.2659897,53.4923604,-2365718945364224282,,112334,504758421,62,0,3,0,2
-2.2661361,53.51573,-269399527869249818,,46112,85053599,18,0,0,1,0
-2.2641192,53.4339394,-55301616101183770,,608491,1925578302,54,7,5,4,2
-2.2641527,53.4393324,-1799129505341421850,,548557,2147483647,68,5,2,1,2
-2.2641806,53.4438266,-6922193285528310042,,486951,894950981,42,3,1,4,2
-2.2643426,53.4698929,-5119406691067266330,,230455,2124388258,46,1,1,1,0
-2.2644656,53.4896673,536622626575638246,,133600,713965384,58,3,1,1,1
-2.2645216,53.4986556,-7877119818569645338,,101440,411609320,55,0,1,0,1
-2.2646225,53.5148345,8300826008003944166,,53483,114420952,47,0,0,1,0
-2.2625364,53.4213589,-5441153801290022170,,260097,2147483647,93,1,1,1,2
-2.2625531,53.4240555,-5944133414741826842,,362603,964272267,35,3,0,0,1
-2.2626418,53.4384369,-5608213471952672026,,520595,2147483647,68,6,1,1,4
-2.262664,53.4420323,-6104919003042739482,,491531,1074203566,74,4,3,0,3
-2.2626751,53.44383,4841772569815309030,,474236,406091294,21,1,2,0,2
-2.2627028,53.4483242,605508225165856486,,428366,2147483647,46,0,5,3,2
-2.2627695,53.4591102,5228304199853583078,,325904,2147483647,192,7,9,4,3
-2.2628028,53.4645032,-4914485009058255130,,283193,2147483647,65,0,2,1,2
-2.2628473,53.4716939,-4730014491813090586,,234860,2147483647,200,7,6,3,5
-2.2630309,53.5013554,9164094711604889318,,101530,412337002,56,0,1,0,2
-2.2630699,53.5076472,4503625846425485030,,80589,259783567,77,0,2,0,1
-2.2631423,53.519332,3627737104511066854,,47081,88666196,208,1,0,0,1
-2.2610152,53.4186657,5173944745410239206,,91778,336931100,41,0,1,1,1
-2.2610427,53.4231599,-97734301553612058,,222788,1985387823,25,1,0,2,0
-2.2612027,53.4492263,-2768365916960627994,,413717,2147483647,37,1,2,1,1
-2.2614182,53.4842809,974804121586507494,,181543,1318323203,136,2,1,3,5
-2.2615178,53.5004599,525851067126723302,,113938,519277582,48,0,1,0,0
-2.2595106,53.418669,1878073865649755878,,53439,114229785,87,0,1,1,0
-2.259516,53.4195678,-6359262275304227098,,68422,187264345,51,0,1,0,0
-2.2595928,53.4321516,-3186463172877651226,,353161,693964758,34,1,0,0,0
-2.2595982,53.4330505,4728380058564737766,,366864,1088601226,114,4,6,6,3
-2.2596037,53.4339493,-4347429581144011034,,378906,1447824978,84,2,4,1,6
-2.2596311,53.4384435,2486736712152068838,,415897,2147483647,53,3,2,1,3
-2.2596641,53.4438366,6267195244730139366,,420766,2147483647,24,2,2,1,2
-2.2596805,53.4465331,4813593830928761574,,412851,2147483647,67,2,1,2,4
-2.2597299,53.4546226,6467569402093212390,,369373,1162493561,35,0,3,0,0
-2.2597574,53.4591168,8864222466996232934,,340161,333426183,100,1,3,3,3
-2.2598068,53.4672063,5538582275697341158,,287825,2147483647,93,4,0,1,4
-2.2598233,53.4699029,5428003152784542438,,271288,2147483647,82,1,4,2,0
-2.2599002,53.4824865,1937378668414715622,,202426,1639063555,62,1,1,1,2
-2.2599167,53.485183,5081524606056243942,,189350,1434149063,68,1,0,0,1
-2.2600819,53.512148,810945815195102950,,79711,254158283,17,0,0,1,0
-2.2580223,53.4213688,-4182704147092003098,,64795,167937662,80,0,1,1,0
-2.2580277,53.4222676,-5187000936324133146,,79345,251827404,38,0,0,1,1
-2.258104,53.4348514,4541397942516936422,,319782,2147483647,97,2,4,3,6
-2.2581258,53.4384468,2641711967522112230,,358693,851463631,22,1,1,0,2
-2.2581586,53.4438398,4768270369095828198,,383985,1602826017,28,1,0,0,0
-2.2581804,53.4474352,-4295180408545597722,,384394,1615387528,160,5,4,7,12
-2.2582077,53.4519294,9205998164829418214,,373068,1272241479,45,0,2,1,3
-2.2582131,53.4528282,7688969206081764070,,369703,1172262955,72,0,3,3,3
-2.2582513,53.4591201,-1007389654633267482,,340083,331307762,96,2,0,2,3
-2.258295,53.4663108,-3233283323207055642,,300274,2147483647,99,4,2,1,4
