x,y,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2807386,53.4034207,release location,,,,,,,
-2.1047485,53.5060935,,0,0,13,0,0,0,0
-2.2653554,53.3907915,,43,74,74,0,0,0,0
-2.2655402,53.4204534,,110116,485025109,22,0,0,0,0
-2.2655963,53.4294419,,23421,21942481,38,0,0,0,0
-2.2656636,53.4402279,,4833,934442,58,0,0,1,0
-2.2656917,53.4447221,,2559,262013,59,0,0,0,0
-2.2657816,53.4591036,,262,2753,166,0,0,0,0
-2.2658602,53.4716873,,20,17,125,0,0,0,0
-2.2659897,53.4923604,,0,0,62,0,0,0,0
-2.1059711,53.3919386,,0,0,49,0,0,0,0
-2.1059778,53.3946352,,0,0,42,0,0,0,0
-2.1060159,53.4099157,,0,0,35,0,0,0,0
-2.106036,53.4180053,,0,0,58,0,0,0,0
-2.1061011,53.444072,,0,0,81,0,0,0,0
-2.1061033,53.4449708,,0,0,82,0,0,0,0
-2.1061977,53.4827223,,0,0,21,0,0,0,0
-2.1062135,53.4890142,,0,0,156,0,0,0,0
-2.1062292,53.4953061,,0,0,74,0,0,0,0
-2.1062405,53.4998002,,0,0,12,0,0,0,0
-2.2638295,53.3871995,,8,2,80,0,0,0,0
-2.2638462,53.389896,,28,33,101,0,0,0,0
-2.2639019,53.3988845,,2590,268378,38,0,0,0,0
-2.2639074,53.3997833,,4307,742032,3,0,0,0,0
-2.2639186,53.401581,,12024,5783379,38,0,0,1,0
-2.263952,53.4069741,,161633,1045013543,6,0,0,1,0
-2.2641192,53.4339394,,13992,7831966,54,0,0,0,0
-2.2641527,53.4393324,,6506,1693557,68,0,0,0,0
-2.2641806,53.4438266,,3460,479061,42,0,0,0,0
-2.2643314,53.4680953,,55,121,27,0,0,0,0
-2.2643426,53.4698929,,37,56,46,0,0,0,0
-2.2644656,53.4896673,,0,0,58,0,0,0,0
-2.2645216,53.4986556,,0,0,55,0,0,0,0
-2.2622928,53.3818097,,0,0,92,0,0,0,0
-2.2623039,53.3836074,,1,0,84,0,0,0,0
-2.2623703,53.3943936,,230,2125,13,0,0,0,0
-2.2623758,53.3952924,,357,5108,95,0,0,0,0
-2.2624367,53.4051797,,59243,140393833,70,1,0,0,1
-2.2624422,53.4060786,,85955,295533848,25,0,0,0,0
-2.262481,53.4123705,,287763,2147483647,17,0,1,0,1
-2.2625364,53.4213589,,112755,508555914,93,2,1,0,2
-2.2625531,53.4240555,,73524,216235666,35,0,2,0,0
-2.2626418,53.4384369,,8677,3012217,68,0,0,0,0
-2.262664,53.4420323,,5259,1106599,74,0,0,0,0
-2.2626751,53.44383,,4087,668174,21,0,1,0,0
-2.2627028,53.4483242,,2139,183165,46,0,0,0,0
-2.2627695,53.4591102,,377,5687,192,0,0,0,0
-2.2628028,53.4645032,,138,761,65,0,0,0,0
-2.2628473,53.4716939,,30,37,200,0,0,0,0
-2.2630309,53.5013554,,0,0,56,0,0,0,0
-2.2630699,53.5076472,,0,0,77,0,0,0,0
-2.2608335,53.3890038,,19,15,76,0,0,0,0
-2.2609546,53.4087784,,149412,892967409,47,0,1,0,0
-2.2610152,53.4186657,,171023,1169959110,41,0,1,0,0
-2.2610427,53.4231599,,92189,339954536,25,0,0,1,0
-2.2612027,53.4492263,,2206,194737,37,0,0,0,0
-2.2614182,53.4842809,,1,0,136,0,0,0,0
-2.2615178,53.5004599,,0,0,48,0,0,0,0
-2.2593464,53.3917036,,63,158,73,0,0,0,0
-2.2595106,53.418669,,169009,1142564241,87,0,1,2,2
-2.259516,53.4195678,,153826,946501024,51,1,1,0,0
-2.2595928,53.4321516,,27759,30823384,34,0,0,0,0
-2.2595982,53.4330505,,24494,23998412,114,0,1,0,0
-2.2596037,53.4339493,,21626,18708480,84,0,0,0,0
-2.2596311,53.4384435,,11686,5462782,53,0,0,0,0
-2.2596641,53.4438366,,5579,1245155,24,0,0,0,0
-2.2596805,53.4465331,,3818,583286,67,0,0,0,0
-2.2597299,53.4546226,,1126,50804,35,0,0,0,0
-2.2597574,53.4591168,,530,11254,100,0,0,0,0
-2.2598068,53.4672063,,114,527,93,0,0,0,0
-2.2598233,53.4699029,,65,170,82,0,0,0,0
-2.2599002,53.4824865,,3,0,62,0,0,0,0
-2.2599167,53.485183,,1,0,68,0,0,0,0
-2.2599277,53.4869807,,0,0,6,0,0,0,0
-2.2577938,53.3836172,,1,0,99,0,0,0,0
-2.2578046,53.3854149,,4,0,51,0,0,0,0
-2.2578101,53.3863138,,6,1,78,0,0,0,0
-2.2578264,53.3890103,,19,15,62,0,0,0,0
-2.2578318,53.3899092,,28,32,70,0,0,0,0
-2.2578644,53.3953023,,297,3536,25,0,0,0,0
-2.2579297,53.4060884,,38490,59261221,60,0,0,0,0
-2.2580223,53.4213688,,126571,640816812,80,3,2,1,1
-2.2580277,53.4222676,,114319,522755541,38,0,0,0,0
-2.258104,53.4348514,,21676,18795497,97,1,2,0,0
-2.2581258,53.4384468,,13381,7162815,22,1,0,0,0
-2.2581586,53.4438398,,6447,1662941,28,0,0,0,0
-2.2581804,53.4474352,,3897,607711,160,0,0,0,0
-2.2582077,53.4519294,,2009,161515,45,0,0,0,0
-2.2582131,53.4528282,,1750,122529,72,0,0,0,0
-2.2582513,53.4591201,,623,15574,96,0,0,0,0
-2.258295,53.4663108,,163,1067,99,0,0,0,0
-2.2583332,53.4726026,,42,73,167,0,0,0,0
-2.258377,53.4797933,,7,2,2,0,0,0,0
-2.2585137,53.5022641,,0,0,97,0,0,0,0
-2.2563012,53.3854182,,4,0,52,0,0,0,0
-2.256339,53.3917101,,59,140,70,0,0,0,0
-2.2563444,53.392609,,86,299,60,0,0,0,0
-2.2563498,53.3935078,,126,644,98,0,0,0,0
-2.2564472,53.4096871,,87992,309710647,67,0,1,0,0
-2.256588,53.433057,,30784,37906859,21,0,0,0,1
-2.2566368,53.4411466,,10628,4518422,73,0,0,0,1
-2.2566693,53.4465396,,5100,1040771,53,0,0,0,0
-2.2566856,53.4492361,,3474,482985,63,0,0,0,0
-2.2567127,53.4537303,,1768,125073,74,0,0,0,0
-2.2567236,53.455528,,1329,70715,76,0,0,0,0
-2.2567778,53.4645164,,273,2996,113,0,0,0,0
-2.2568539,53.4771001,,17,12,21,0,0,0,0
-2.2568702,53.4797966,,9,3,112,0,0,0,0
-2.2568919,53.4833919,,3,0,326,0,0,0,0
-2.2547924,53.3845226,,2,0,82,0,0,0,0
-2.25483,53.3908145,,39,61,20,0,0,0,0
-2.2548568,53.3953087,,258,2668,86,0,0,0,0
-2.2549214,53.4060949,,24264,23550175,77,0,1,0,0
-2.2549375,53.4087914,,56185,126270945,115,0,1,1,0
-2.2551799,53.4492393,,3990,637109,131,0,0,0,0
-2.2552824,53.4663173,,226,2048,129,0,0,0,0
-2.2554877,53.500473,,0,0,31,0,0,0,0
-2.2554932,53.5013718,,0,0,74,0,0,0,0
-2.2555202,53.5058659,,0,0,90,0,0,0,0
-2.2555364,53.5085624,,0,0,114,0,0,0,0
-2.253289,53.3845258,,2,0,102,0,0,0,0
-2.2532996,53.3863235,,6,1,107,0,0,0,0
-2.2533263,53.3908177,,37,57,14,0,0,0,0
-2.2533317,53.3917165,,54,118,82,0,0,0,0
-2.2536635,53.4474449,,5857,1372533,100,0,0,0,0
-2.2537224,53.4573321,,1326,70422,68,0,0,0,0
-2.2537654,53.4645228,,373,5581,72,0,0,0,0
-2.2537976,53.4699158,,127,648,104,0,0,0,0
-2.2539157,53.4896902,,0,0,143,0,0,0,0
-2.2518227,53.3908209,,36,52,60,0,0,0,0
-2.2518493,53.3953151,,222,1974,52,0,0,0,0
-2.2520141,53.4231793,,104386,435863710,25,0,0,0,0
-2.2521259,53.442055,,13439,7225021,102,0,0,0,0
-2.2521791,53.4510434,,3995,638700,2,0,0,0,0
-2.2522378,53.4609306,,830,27583,18,0,0,0,0
-2.2523392,53.4780085,,23,22,11,0,0,0,0
-2.2525155,53.50767,,0,0,240,0,0,0,0
-2.2502874,53.385431,,3,0,72,0,0,0,0
-2.250504,53.4222837,,105808,447819380,35,1,1,1,1
-2.2506151,53.4411593,,16632,11066264,71,1,1,1,0
-2.2507211,53.4591361,,1293,66929,69,0,0,0,0
-2.2507582,53.465428,,421,7103,67,0,0,0,0
-2.2508271,53.4771129,,34,48,26,0,0,0,0
-2.2509439,53.4968872,,0,0,84,0,0,0,0
-2.2509811,53.503179,,0,0,97,0,0,0,0
-2.2509865,53.5040779,,0,0,124,0,0,0,0
-2.2510024,53.5067744,,0,0,141,0,0,0,0
-2.248763,53.3818387,,0,0,68,0,0,0,0
-2.2488889,53.4034111,,4296,738489,6,0,0,0,0
-2.2489099,53.4070064,,14540,8456745,5,0,0,0,0
-2.2489572,53.4150961,,79945,255651908,119,1,3,0,2
-2.2490098,53.4240845,,93393,348890931,40,2,0,1,0
-2.2490518,53.4312752,,53656,115162688,125,0,2,1,0
-2.2491413,53.4465555,,9312,3468744,70,0,0,0,0
-2.2491992,53.4564428,,2272,206616,97,0,0,0,0
-2.2494471,53.498688,,0,0,51,0,0,0,0
-2.2494577,53.5004857,,0,0,12,0,0,0,0
-2.2494683,53.5022834,,0,0,96,0,0,0,0
-2.2494841,53.5049799,,0,0,6,0,0,0,0
-2.2472857,53.3863361,,5,1,74,0,0,0,0
-2.2474736,53.4186946,,90699,329058164,35,0,0,0,0
-2.2474893,53.4213911,,95179,362365112,18,0,0,0,1
-2.2475468,53.4312784,,55364,122610332,92,0,0,0,0
-2.2475625,53.4339749,,42986,73914553,8,0,0,0,0
-2.2476933,53.4564459,,2559,262111,97,0,0,0,0
-2.2477614,53.4681308,,328,4320,180,0,0,0,0
-2.2477718,53.4699285,,228,2093,138,0,0,0,0
-2.2479397,53.4986912,,0,0,48,0,0,0,0
-2.2479869,53.5067807,,0,0,48,0,0,0,0
-2.2480027,53.5094772,,0,0,85,0,0,0,0
-2.2457615,53.3827438,,0,0,66,0,0,0,0
-2.2457822,53.3863392,,5,1,30,0,0,0,0
-2.2457978,53.3890357,,14,8,41,0,0,0,0
-2.245803,53.3899346,,20,17,20,0,0,0,0
-2.245995,53.4231919,,87137,303717982,108,1,0,0,1
-2.2460469,53.4321803,,52495,110229694,45,0,1,0,0
-2.2461665,53.4528537,,4874,950468,99,0,0,0,0
-2.2461769,53.4546513,,3756,564566,43,0,0,0,0
-2.2461977,53.4582467,,2163,187307,85,0,0,0,0
-2.2462029,53.4591455,,1872,140259,36,0,0,0,0
-2.2464479,53.5013908,,0,0,103,0,0,0,0
-2.2464844,53.5076826,,0,0,69,0,0,0,0
