x,y,cell_id,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2655402,53.4204534,6504529144908220134,,208030,1731065172,22,0,3,1,1
-2.1063691,53.5510339,8502172581031052006,,5176,1071744,131,0,1,0,0
-2.2625364,53.4213589,-5441153801290022170,,184791,1365921127,93,3,1,0,3
-2.2625531,53.4240555,-5944133414741826842,,145924,851761921,35,1,0,1,0
-2.2610152,53.4186657,5173944745410239206,,129186,667569147,41,0,1,0,1
-2.1018953,53.5735085,6240343133315111654,,4646,863442,88,0,1,0,0
-2.1019061,53.5780027,-8551441624011044122,,4135,684022,56,0,0,1,0
-2.2595106,53.418669,1878073865649755878,,88569,313785309,87,3,1,0,2
-2.259516,53.4195678,-6359262275304227098,,106544,454073436,51,0,1,0,1
-2.2595928,53.4321516,-3186463172877651226,,57852,133874427,34,1,0,0,0
-2.2595982,53.4330505,4728380058564737766,,49869,99476706,114,1,0,0,1
-2.2596037,53.4339493,-4347429581144011034,,42804,73287479,84,1,2,0,0
-2.1018714,53.5636214,-3663562747734006042,,5042,1017212,81,0,1,0,0
-2.2580223,53.4213688,-4182704147092003098,,102579,420898926,80,0,0,0,2
-2.2580277,53.4222676,-5187000936324133146,,113901,518942964,38,0,1,0,0
-2.258104,53.4348514,4541397942516936422,,46105,85027305,97,1,2,0,0
-2.095869,53.5798053,-332163963763874074,,3229,417277,145,0,0,0,1
-2.2536635,53.4474449,-7152446989104168218,,13597,7395689,100,0,0,1,0
-2.2521259,53.442055,4164675140155535078,,35816,51311457,102,0,0,0,1
-2.0943587,53.5798065,-8333599686615004442,,3053,373033,130,1,0,0,0
-2.2506151,53.4411593,-7675963362233193754,,46047,84814809,71,0,0,1,0
-2.2490518,53.4312752,8508474655642063590,,68962,190233162,125,0,1,1,3
-2.2491413,53.4465555,-499528539499273498,,29324,34396041,70,0,0,1,0
-2.2475468,53.4312784,-6467714298833766682,,58553,137141602,92,1,1,0,1
-2.2445521,53.4339811,1769455742939329254,,51650,106710178,97,0,0,1,2
-2.2430829,53.4402761,-7297340031951181082,,58064,134861525,55,0,1,0,0
-2.2431343,53.4492645,17445471515811558,,38289,58642609,87,1,0,0,1
-2.2414959,53.4258976,2284183142951257830,,5178,1072593,145,0,0,1,0
-2.2415061,53.4276953,5430031713043068646,,9372,3513451,67,1,0,0,0
-2.2415265,53.4312907,-8101132867654452506,,22750,20703248,58,0,0,1,0
-2.2415673,53.4384814,8680781882765783782,,51644,106686352,75,1,2,0,1
-2.2415826,53.441178,2134388145120086758,,55251,122108421,46,0,0,0,1
-2.2417563,53.4717385,-8856656228966394138,,4045,654736,456,1,0,0,0
-2.2417717,53.474435,-5335441571831362842,,2923,341831,361,1,0,0,0
-2.0837952,53.5843086,4338171347267840742,,1708,116767,72,1,0,0,0
-2.240062,53.4384845,-4556176508422569242,,45603,83186521,87,0,0,1,1
-2.2401178,53.4483717,-410353829836573978,,46506,86513353,91,1,0,0,0
-2.2401584,53.4555625,8135992453152823014,,28292,32018718,219,2,0,0,0
-2.2401635,53.4564613,8928120638947925734,,26134,27320043,84,0,0,1,0
-2.2402244,53.4672474,3722726391797553894,,8550,2924643,209,0,1,0,0
-2.2402549,53.4726404,-4165283725814934810,,4593,843871,391,0,0,0,1
-2.2385668,53.4402852,-8913844776342746394,,44809,80313910,73,1,0,1,1
-2.2387635,53.4753399,-2367741057041241370,,4215,710898,475,0,0,0,2
-2.2370564,53.4393893,-7613659717524540698,,36283,52659893,98,1,1,0,0
-2.2370614,53.4402882,5088858815127454438,,39178,61398871,84,1,0,1,1
-2.2370864,53.4447824,-5084443102995850522,,48222,93016820,47,0,1,0,0
-2.2371566,53.4573662,5301323720246154982,,30597,37448785,150,0,0,0,1
-2.2356157,53.4510773,9004721890016331494,,45165,81597934,125,0,2,0,0
-2.0762134,53.5681347,7216243656275371750,,1029,42397,121,0,0,1,0
-2.1109725,53.5797923,-4179319636052698394,,4601,846855,61,0,1,0,0
-2.0822252,53.5537494,6627076214899954406,,960,36902,83,0,1,0,0
-2.2789999,53.4078387,125028254233245414,,880208,925896642,20,1,0,0,1
-2.2790235,53.4114341,1397196653590858470,,59125,139834770,47,0,0,1,0
-2.2775074,53.4096399,4947301433501199078,,656168,42421450,82,5,11,1,5
-2.2760031,53.4096434,-8820616222601541914,,1237243,1101331480,58,6,11,9,7
-2.2760206,53.4123399,5726773707050736358,,295702,2147483647,73,3,6,1,3
-2.2744872,53.4078492,5587628396275936998,,1209786,2147483647,46,2,3,4,3
-2.274493,53.408748,-154122749003444506,,1438506,1167709475,56,8,4,5,8
-2.2730118,53.4123469,-3201484322756805914,,682930,1475901605,77,9,3,7,4
-2.2715074,53.4123503,-2913805330674472218,,654210,2147483647,69,5,4,3,5
-2.270003,53.4123537,8289595978423360230,,490603,1037747711,49,1,4,1,5
-2.2686006,53.4285363,-116449878521627930,,16889,11410217,53,0,1,0,0
-2.2655515,53.4222511,2569002052646554342,,155326,965049000,70,1,0,1,0
-2.2625475,53.4231566,4620571431220990694,,161596,1044538007,172,3,3,3,5
-2.2610648,53.4267553,1881598345399029478,,111857,500483677,82,0,0,1,0
-2.2610703,53.4276541,-137584153853775130,,98570,388648126,38,1,0,0,0
-2.2596366,53.4393424,6928252925488064230,,16341,10681452,65,1,0,0,0
-2.259686,53.4474319,3679959816390162150,,3865,597757,242,0,0,0,1
-2.2565988,53.4348547,392240170952047334,,55450,122988964,80,0,1,1,0
-2.255029,53.4240718,3865591119366498022,,83812,280979590,65,0,1,0,0
-2.2551314,53.4411498,-6174781603470339354,,27218,29634278,17,1,0,0,0
-2.2506575,53.4483501,360096994605882086,,19307,14911174,120,2,0,0,0
-2.248994,53.421388,-6940811053869699354,,8727,3046534,152,0,0,0,1
-2.2490308,53.4276799,1036313237803250406,,48168,92809762,105,0,1,0,0
-2.2491466,53.4474544,-4839231609984291098,,26369,27813658,119,0,1,0,0
-2.2492203,53.4600381,6920988056863402726,,5060,1024317,171,0,0,1,0
-2.2475363,53.4294807,5130503960379421414,,48333,93445022,126,3,0,0,1
-2.2460157,53.4267873,7716747286468479718,,21700,18835811,128,1,0,0,0
-2.2460417,53.4312815,1997942342664534758,,48133,92674526,65,0,0,1,0
-2.2446296,53.4474637,-8244092857107468570,,40119,64383823,34,0,0,1,0
-2.2431703,53.4555564,5071148158388771558,,21231,18030681,228,0,0,0,2
-2.2414908,53.4249988,2795960880575520486,,3695,546315,144,0,0,0,1
-2.2415469,53.4348861,-3538754440209109274,,39241,61596777,100,1,1,0,0
