x,y,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2807386,53.4034207,release location,,,,,,,
-2.2652156,53.3683203,,8,2,25,0,0,0,0
-2.2652548,53.3746123,,202,1642,83,0,0,0,0
-2.2653554,53.3907915,,48846,95438452,74,0,0,0,0
-2.2655402,53.4204534,,1216261,2147483647,22,4,6,3,1
-2.2655963,53.4294419,,291868,2147483647,38,0,0,2,0
-2.2656636,53.4402279,,33159,43981515,58,0,1,0,0
-2.2656917,53.4447221,,11186,5005641,59,0,0,0,0
-2.2657816,53.4591036,,145,844,166,0,0,0,0
-2.2638295,53.3871995,,14304,8184889,80,0,0,0,0
-2.2638462,53.389896,,32984,43518708,101,1,0,1,0
-2.2639019,53.3988845,,449677,2147483647,38,4,2,2,1
-2.2639074,53.3997833,,571009,157192054,3,0,0,1,1
-2.2639186,53.401581,,896879,2110916619,38,4,2,4,1
-2.263952,53.4069741,,2316109,2147483647,6,1,1,1,1
-2.2641192,53.4339394,,127567,650943228,54,1,0,0,1
-2.2641527,53.4393324,,41597,69213977,68,0,1,0,0
-2.2641806,53.4438266,,14488,8396728,42,0,0,0,0
-2.2622486,53.3746189,,166,1108,84,0,0,0,0
-2.2622928,53.3818097,,2219,197058,92,0,0,0,0
-2.2623039,53.3836074,,4035,651341,84,0,0,0,0
-2.2623703,53.3943936,,108848,473920348,13,0,0,0,0
-2.2623758,53.3952924,,140322,787616685,95,1,0,1,1
-2.2624367,53.4051797,,1433463,588289595,70,8,10,9,12
-2.2624422,53.4060786,,1625702,2147483647,25,3,2,5,3
-2.262481,53.4123705,,2142758,2147483647,17,3,2,4,6
-2.2625364,53.4213589,,956569,2147483647,93,9,5,8,6
-2.2625531,53.4240555,,663288,418190667,35,2,4,2,1
-2.2626418,53.4384369,,51262,105114414,68,0,1,0,0
-2.262664,53.4420323,,22839,20865118,74,0,0,0,0
-2.2626751,53.44383,,14827,8794739,21,0,1,0,0
-2.2627028,53.4483242,,4627,856543,46,0,0,0,0
-2.2627695,53.4591102,,161,1047,192,0,0,0,0
-2.2628028,53.4645032,,17,12,65,0,0,0,0
-2.2607346,53.3728245,,72,207,23,0,0,0,0
-2.2607401,53.3737234,,104,434,36,0,0,0,0
-2.2608335,53.3890038,,19518,15239653,76,0,0,0,0
-2.2609546,53.4087784,,1651738,1755387596,47,10,5,9,7
-2.2610152,53.4186657,,1194335,1222940037,41,5,2,3,4
-2.2610427,53.4231599,,708059,2147483647,25,1,2,3,2
-2.2612027,53.4492263,,3702,548392,37,0,0,0,0
-2.2592152,53.3701312,,18,13,62,0,0,0,0
-2.2592206,53.3710301,,28,33,54,0,0,0,0
-2.2593464,53.3917036,,37492,56226324,73,0,0,2,0
-2.2595106,53.418669,,1067809,2147483647,87,11,10,10,11
-2.259516,53.4195678,,981948,2147483647,51,9,7,4,4
-2.2595928,53.4321516,,170842,1167482409,34,0,1,0,0
-2.2595982,53.4330505,,145670,848796424,114,0,2,3,2
-2.2596037,53.4339493,,123664,611720466,84,1,2,1,1
-2.2596311,53.4384435,,50993,104012368,53,0,0,0,0
-2.2596641,53.4438366,,15123,9148973,24,0,0,0,0
-2.2596805,53.4465331,,7716,2382007,67,1,0,0,0
-2.2597299,53.4546226,,775,24030,35,0,0,0,0
-2.2597574,53.4591168,,174,1219,100,0,0,0,0
-2.2598068,53.4672063,,2,0,93,0,0,0,0
-2.2577938,53.3836172,,2769,306741,99,1,0,0,0
-2.2578046,53.3854149,,4920,968309,51,0,0,0,0
-2.2578101,53.3863138,,6516,1698539,78,0,0,0,0
-2.2578264,53.3890103,,14761,8716042,62,1,0,0,0
-2.2578318,53.3899092,,19225,14785266,70,0,0,0,0
-2.2578644,53.3953023,,85613,293185950,25,0,0,0,0
-2.2579297,53.4060884,,804902,144941350,60,4,7,2,2
-2.2580223,53.4213688,,738084,315931007,80,7,4,5,5
-2.2580277,53.4222676,,670551,805703370,38,2,0,4,1
-2.258104,53.4348514,,101705,413759888,97,2,0,0,2
-2.2581258,53.4384468,,50150,100601777,22,0,0,1,1
-2.2581586,53.4438398,,15072,9087502,28,0,0,0,0
-2.2581804,53.4474352,,6132,1504063,160,0,0,0,0
-2.2582077,53.4519294,,1774,126012,45,0,0,0,0
-2.2582131,53.4528282,,1362,74299,72,0,0,0,0
-2.2582513,53.4591201,,179,1284,96,0,0,0,0
-2.258295,53.4663108,,6,1,99,0,0,0,0
-2.2563012,53.3854182,,4262,726662,52,0,0,0,0
-2.256339,53.3917101,,27483,30214723,70,1,0,0,1
-2.2563444,53.392609,,35224,49629974,60,1,0,0,0
-2.2563498,53.3935078,,44925,80733287,98,2,0,0,0
-2.2564472,53.4096871,,909920,2147483647,67,8,7,4,5
-2.256588,53.433057,,134926,728207621,21,0,0,1,1
-2.2566368,53.4411466,,27572,30408897,73,0,1,0,0
-2.2566693,53.4465396,,7688,2364559,53,0,0,0,0
-2.2566856,53.4492361,,3792,575233,63,0,0,0,0
-2.2567127,53.4537303,,1048,43994,74,0,0,0,0
-2.2567236,53.455528,,602,14513,76,0,0,0,0
-2.2567778,53.4645164,,20,16,113,0,0,0,0
-2.2547924,53.3845226,,2761,305053,82,0,0,0,0
-2.25483,53.3908145,,18154,13183253,20,0,0,0,0
-2.2548568,53.3953087,,60239,145150836,86,0,1,1,0
-2.2549214,53.4060949,,517482,2121573654,77,3,3,2,3
-2.2549375,53.4087914,,688955,1806510090,115,9,7,8,10
-2.2551799,53.4492393,,3758,565072,131,0,0,0,0
-2.2552824,53.4663173,,6,1,129,0,0,0,0
-2.2532035,53.3701442,,10,4,74,0,0,0,0
-2.2532089,53.371043,,16,11,35,0,0,0,0
-2.253289,53.3845258,,2359,222673,102,0,0,0,0
-2.2532996,53.3863235,,4126,681219,107,0,0,0,0
-2.2533263,53.3908177,,15343,9416819,14,0,0,0,0
-2.2533317,53.3917165,,19657,15456169,82,0,0,0,0
-2.2536635,53.4474449,,5901,1393304,100,0,0,0,0
-2.2537224,53.4573321,,338,4586,68,0,0,0,0
-2.2537654,53.4645228,,20,17,72,0,0,0,0
-2.2517272,53.3746416,,64,165,19,0,0,0,0
-2.251759,53.3800347,,455,8304,66,0,0,0,0
-2.2518227,53.3908209,,12887,6643645,60,0,0,0,0
-2.2518493,53.3953151,,41643,69366602,52,0,0,0,0
-2.2520141,53.4231793,,392786,1876270846,25,1,1,0,1
-2.2521259,53.442055,,20364,16587778,102,0,0,0,0
-2.2521791,53.4510434,,2214,196109,2,0,0,0,0
-2.2522378,53.4609306,,96,374,18,0,0,0,0
-2.2502874,53.385431,,2230,198935,72,0,0,0,0
-2.250504,53.4222837,,370383,1192394645,35,3,2,2,3
-2.2506151,53.4411593,,23404,21911287,71,0,0,0,0
-2.2507211,53.4591361,,181,1315,69,0,0,0,0
-2.2507582,53.465428,,12,6,67,0,0,0,0
-2.2487105,53.3728502,,22,19,8,0,0,0,0
-2.248763,53.3818387,,590,13948,68,0,0,0,0
-2.2488889,53.4034111,,146988,864224550,6,0,0,0,1
-2.2489099,53.4070064,,243466,2147483647,5,0,0,0,0
-2.2489572,53.4150961,,404256,2147483647,119,4,3,7,4
-2.2490098,53.4240845,,279178,2147483647,40,1,0,1,2
-2.2490518,53.4312752,,122921,604388399,125,1,4,1,1
-2.2491413,53.4465555,,6559,1720826,70,0,0,0,0
-2.2491992,53.4564428,,428,7338,97,0,0,0,0
-2.247244,53.3791453,,196,1543,61,0,0,0,0
-2.2472857,53.3863361,,2032,165250,74,0,1,0,0
-2.2474736,53.4186946,,325565,2147483647,35,0,0,0,1
-2.2474893,53.4213911,,291157,2147483647,18,0,0,0,0
-2.2475468,53.4312784,,110584,489153843,92,2,0,1,1
-2.2475625,53.4339749,,74568,222420686,8,0,0,0,0
-2.2476933,53.4564459,,413,6843,97,0,0,0,0
-2.2457615,53.3827438,,543,11831,66,0,0,0,0
-2.2457822,53.3863392,,1673,112076,30,0,0,0,0
-2.2457978,53.3890357,,3674,540025,41,0,0,0,0
-2.245803,53.3899346,,4722,892104,20,0,0,0,0
-2.245995,53.4231919,,222887,1987155975,108,3,3,4,1
-2.2460469,53.4321803,,87313,304949135,45,0,0,1,0
-2.2461665,53.4528537,,1141,52098,99,0,0,0,0
-2.2461769,53.4546513,,681,18553,43,0,0,0,0
-2.2461977,53.4582467,,223,2002,85,0,0,0,0
-2.2462029,53.4591455,,166,1103,36,0,0,0,0
-2.2442067,53.3737584,,18,13,43,0,0,0,0
-2.2443045,53.3908365,,4917,967422,37,0,0,0,0
-2.2443097,53.3917354,,6242,1558765,50,0,0,0,0
-2.2443148,53.3926342,,7876,2481651,66,0,0,0,0
-2.2444747,53.4204985,,216644,1877402135,62,1,1,1,1
-2.2445521,53.4339811,,60097,144468783,97,0,0,2,0
-2.2446141,53.4447672,,8123,2639609,55,0,0,0,0
-2.2427088,53.3746603,,20,17,14,0,0,0,0
-2.2427906,53.3890419,,2433,236815,54,0,0,0,0
-2.2430829,53.4402761,,18650,13912981,55,0,0,0,0
-2.2431343,53.4492645,,2591,268591,87,0,0,0,0
-2.2431805,53.457354,,268,2889,90,0,0,0,0
-2.2432114,53.4627471,,40,67,72,0,0,0,0
-2.2412209,53.3773599,,46,85,6,0,0,0,0
-2.2412565,53.3836518,,390,6110,16,0,0,0,0
-2.2414602,53.4196057,,153330,940405263,120,1,1,2,3
-2.2414959,53.4258976,,113596,516162083,145,0,1,0,2
-2.2415061,53.4276953,,97653,381447030,67,0,0,0,1
-2.2415265,53.4312907,,66649,177688252,58,0,1,1,1
-2.2415673,53.4384814,,23123,21388363,75,0,0,1,1
-2.2415826,53.441178,,14129,7985849,46,0,0,0,0
-2.2397683,53.3863514,,720,20749,14,0,0,0,0
-2.2397784,53.3881491,,1218,59385,11,0,0,0,0
-2.239991,53.4259007,,95987,368543134,121,3,0,1,0
-2.2400113,53.4294961,,70089,196499588,74,1,0,0,1
