x,y,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2807386,53.4034207,release location,,,,,,,
-2.2655402,53.4204534,,130120,677256728,22,0,1,0,0
-2.2655963,53.4294419,,192275,1478801688,38,0,2,1,2
-2.2656636,53.4402279,,178280,1271363530,58,0,1,1,1
-2.2656917,53.4447221,,165939,1101438178,59,1,2,0,1
-2.2657816,53.4591036,,130263,678746276,166,3,3,3,1
-2.2658602,53.4716873,,104777,439129266,125,2,2,0,3
-2.2659897,53.4923604,,63340,160480983,62,0,0,0,0
-2.2661361,53.51573,,19789,15664575,18,0,0,0,0
-2.26617,53.521123,,13217,6988487,122,0,0,0,0
-2.2663223,53.5453913,,992,39438,39,0,0,0,0
-2.2639186,53.401581,,5,1,38,0,0,0,0
-2.263952,53.4069741,,752,22666,6,0,0,0,0
-2.2641192,53.4339394,,163148,1064699506,54,1,0,1,1
-2.2641527,53.4393324,,161898,1048445509,68,2,2,1,1
-2.2641806,53.4438266,,155802,970973565,42,1,1,2,3
-2.2643314,53.4680953,,111887,500752237,27,0,0,0,1
-2.2643426,53.4698929,,108666,472339257,46,1,1,0,0
-2.2644656,53.4896673,,70636,199578616,58,0,1,0,1
-2.2645216,53.4986556,,51721,107006057,55,0,1,0,0
-2.2646225,53.5148345,,21864,19121617,47,0,0,1,0
-2.2650268,53.5795498,,1,0,3,0,0,0,0
-2.2624367,53.4051797,,120,583,70,0,0,0,0
-2.2624422,53.4060786,,223,1996,25,0,0,0,0
-2.262481,53.4123705,,6345,1610819,17,0,0,0,0
-2.2625364,53.4213589,,62366,155584815,93,1,0,0,0
-2.2625531,53.4240555,,84790,287577865,35,0,0,0,0
-2.2626418,53.4384369,,141795,804240201,68,0,1,2,1
-2.262664,53.4420323,,142310,810093998,74,0,0,1,2
-2.2626751,53.44383,,141592,801934644,21,0,1,1,0
-2.2627028,53.4483242,,137992,761673876,46,0,1,1,0
-2.2627695,53.4591102,,124360,618620231,192,2,1,1,1
-2.2628028,53.4645032,,116438,542321225,65,0,3,2,3
-2.2628473,53.4716939,,105122,442026800,200,4,0,2,3
-2.2630309,53.5013554,,47303,89504603,56,1,0,0,0
-2.2630699,53.5076472,,34817,48489211,77,0,0,0,0
-2.2631144,53.5148379,,22582,20398714,31,0,0,1,0
-2.2631423,53.519332,,16398,10756256,208,0,0,0,0
-2.2632371,53.5346121,,4037,652033,3,0,0,0,0
-2.2609546,53.4087784,,612,15019,47,0,0,0,0
-2.2610152,53.4186657,,24326,23670682,41,0,0,0,0
-2.2610427,53.4231599,,52377,109736696,25,0,0,0,0
-2.2612027,53.4492263,,126487,639968244,37,1,1,0,1
-2.2614182,53.4842809,,83050,275896530,136,0,0,1,2
-2.2615178,53.5004599,,50073,100294554,48,0,0,0,0
-2.2615843,53.5112459,,29080,33827555,42,0,0,0,0
-2.2595106,53.418669,,14771,8728077,87,0,0,0,0
-2.259516,53.4195678,,18152,13180066,51,1,0,0,0
-2.2595928,53.4321516,,80894,261755773,34,0,0,0,0
-2.2595982,53.4330505,,84608,286340830,114,1,0,0,2
-2.2596037,53.4339493,,88080,310324989,84,2,1,0,0
-2.2596311,53.4384435,,101810,414615460,53,2,0,0,0
-2.2596641,53.4438366,,111253,495096982,24,0,0,0,1
-2.2596805,53.4465331,,113737,517446088,67,0,1,2,0
-2.2597299,53.4546226,,115171,530577436,35,1,0,0,0
-2.2597574,53.4591168,,113289,513384228,100,4,0,2,1
-2.2598068,53.4672063,,106757,455888302,93,0,1,2,1
-2.2598233,53.4699029,,103846,431367371,82,0,1,4,0
-2.2599002,53.4824865,,85953,295519841,62,0,0,0,2
-2.2599167,53.485183,,81241,264004045,68,0,2,0,2
-2.2599277,53.4869807,,77944,243016052,6,1,0,0,0
-2.2600819,53.512148,,28085,31552789,17,0,0,0,0
-2.2579297,53.4060884,,40,65,60,0,0,0,0
-2.2580223,53.4213688,,16609,11035296,80,0,0,0,0
-2.2580277,53.4222676,,19727,15567330,38,1,0,1,0
-2.258104,53.4348514,,72511,210315552,97,1,0,2,0
-2.2581258,53.4384468,,84123,283068571,22,0,0,0,0
-2.2581586,53.4438398,,96362,371430416,28,0,0,0,2
-2.2581804,53.4474352,,101485,411974570,160,0,2,1,1
-2.2582077,53.4519294,,105166,442402643,45,1,0,1,0
-2.2582131,53.4528282,,105596,446028215,72,1,0,1,1
-2.2582513,53.4591201,,106314,452114796,96,0,0,0,3
-2.258295,53.4663108,,103224,426214673,99,0,2,1,2
-2.2583332,53.4726026,,97825,382790584,167,0,0,3,4
-2.258377,53.4797933,,88946,316460524,2,0,1,0,0
-2.2585137,53.5022641,,47297,89483334,97,0,0,1,0
-2.2585794,53.5130501,,26959,29071795,3,0,0,0,0
-2.2586232,53.5202407,,16449,10823962,48,0,0,0,0
