x,y,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2807386,53.4034207,release location,,,,,,,
-2.2655402,53.4204534,,569216,75392316,22,1,1,0,2
-2.2655963,53.4294419,,431655,2147483647,38,4,3,0,0
-2.2656636,53.4402279,,258481,2147483647,58,0,0,2,0
-2.2656917,53.4447221,,204315,1669795406,59,1,0,0,0
-2.2657816,53.4591036,,81246,264038286,166,2,2,2,4
-2.2658602,53.4716873,,25354,25713247,125,0,0,1,0
-2.2659897,53.4923604,,1342,72131,62,0,0,0,0
-2.2661361,53.51573,,6,1,18,0,0,0,0
-2.26617,53.521123,,0,0,122,0,0,0,0
-2.2639019,53.3988845,,1877,141032,38,0,0,0,0
-2.2639074,53.3997833,,2863,327960,3,0,0,0,0
-2.2639186,53.401581,,6642,1765149,38,0,0,0,0
-2.263952,53.4069741,,64071,164204518,6,0,0,0,0
-2.2641192,53.4339394,,336037,221890393,54,2,0,1,3
-2.2641527,53.4393324,,264942,2147483647,68,2,1,0,1
-2.2641806,53.4438266,,213049,1815597979,42,0,0,2,1
-2.2643314,53.4680953,,37991,57733699,27,0,0,0,0
-2.2643426,53.4698929,,31683,40153195,46,0,0,1,0
-2.2644656,53.4896673,,2234,199775,58,0,0,0,0
-2.2645216,53.4986556,,433,7505,55,0,0,0,0
-2.2646225,53.5148345,,9,3,47,0,0,0,0
-2.2623703,53.3943936,,203,1661,13,0,0,0,0
-2.2623758,53.3952924,,303,3690,95,0,0,0,0
-2.2624367,53.4051797,,22259,19820098,70,0,0,0,0
-2.2624422,53.4060786,,31294,39174392,25,1,0,0,0
-2.262481,53.4123705,,179843,1293747295,17,0,0,1,0
-2.2625364,53.4213589,,389438,1771538882,93,1,4,3,3
-2.2625531,53.4240555,,396880,2005590579,35,0,1,1,0
-2.2626418,53.4384369,,266358,2147483647,68,2,3,2,2
-2.262664,53.4420323,,227831,2076279056,74,1,4,2,2
-2.2626751,53.44383,,209498,1755588395,21,0,0,0,0
-2.2627028,53.4483242,,166738,1112065114,46,1,1,0,2
-2.2627695,53.4591102,,83910,281639457,192,0,1,0,1
-2.2628028,53.4645032,,54189,117461157,65,0,0,0,0
-2.2628473,53.4716939,,26851,28839685,200,0,1,0,0
-2.2630309,53.5013554,,262,2746,56,0,0,0,0
-2.2630699,53.5076472,,64,167,77,0,0,0,0
-2.2631144,53.5148379,,9,3,31,0,0,0,0
-2.2631423,53.519332,,1,0,208,0,0,0,0
-2.2609546,53.4087784,,52465,110103984,47,0,1,0,0
-2.2610152,53.4186657,,277648,2147483647,41,0,3,1,1
-2.2610427,53.4231599,,331929,112127791,25,1,2,1,1
-2.2612027,53.4492263,,156760,982949584,37,1,1,2,1
-2.2614182,53.4842809,,5570,1241353,136,0,0,0,0
-2.2615178,53.5004599,,328,4322,48,0,0,0,0
-2.2615843,53.5112459,,27,31,42,0,0,0,0
-2.2593464,53.3917036,,19,15,73,0,0,0,0
-2.2595106,53.418669,,215022,1849395038,87,1,2,3,1
-2.259516,53.4195678,,230244,2120504834,51,3,2,0,1
-2.2595928,53.4321516,,280571,2147483647,34,1,0,1,2
-2.2595982,53.4330505,,275922,2147483647,114,3,4,3,2
-2.2596037,53.4339493,,270749,2147483647,84,2,0,4,4
-2.2596311,53.4384435,,239497,2147483647,53,0,4,1,1
-2.2596641,53.4438366,,196574,1545661617,24,1,0,1,0
-2.2596805,53.4465331,,174791,1222089494,67,0,1,4,2
-2.2597299,53.4546226,,113400,514387632,35,0,3,1,1
-2.2597574,53.4591168,,84056,282621046,100,1,3,0,0
-2.2598068,53.4672063,,43267,74884260,93,0,0,0,0
-2.2598233,53.4699029,,33330,44436579,82,0,0,0,0
-2.2599002,53.4824865,,7370,2172945,62,1,0,0,0
-2.2599167,53.485183,,4992,996891,68,0,0,0,1
-2.2599277,53.4869807,,3798,577066,6,0,0,0,0
-2.2600819,53.512148,,22,21,17,0,0,0,0
-2.2578644,53.3953023,,182,1335,25,0,0,0,0
-2.2579297,53.4060884,,11223,5038418,60,0,0,0,0
-2.2580223,53.4213688,,204808,1677855349,80,1,3,4,1
-2.2580277,53.4222676,,215505,1857711390,38,0,0,1,2
-2.258104,53.4348514,,242376,2147483647,97,1,2,2,1
-2.2581258,53.4384468,,223475,1997644961,22,0,1,0,0
-2.2581586,53.4438398,,187672,1408842585,28,0,0,2,2
-2.2581804,53.4474352,,161855,1047890718,160,4,3,0,2
-2.2582077,53.4519294,,129765,673561727,45,1,0,0,0
-2.2582131,53.4528282,,123530,610395201,72,1,1,1,0
-2.2582513,53.4591201,,83181,276764464,96,1,0,0,0
-2.258295,53.4663108,,46948,88165719,99,0,0,1,0
-2.2583332,53.4726026,,25290,25584206,167,0,1,0,0
-2.258377,53.4797933,,10760,4631211,2,0,0,0,0
-2.2585137,53.5022641,,241,2340,97,0,0,0,0
-2.2585794,53.5130501,,18,13,3,0,0,0,0
-2.2586232,53.5202407,,1,0,48,0,0,0,0
-2.256339,53.3917101,,16,10,70,0,0,0,0
-2.2563444,53.392609,,50,103,60,0,0,0,0
-2.2563498,53.3935078,,76,231,98,0,0,0,0
-2.2564472,53.4096871,,24218,23461211,67,0,0,0,2
-2.256588,53.433057,,222677,1983402948,21,0,1,1,0
-2.2566368,53.4411466,,193028,1490393850,73,1,0,2,2
-2.2566693,53.4465396,,160709,1033105016,53,0,0,0,0
-2.2566856,53.4492361,,143252,820854540,63,0,2,0,1
-2.2567127,53.4537303,,114154,521246240,74,0,0,0,0
-2.2567236,53.455528,,102902,423559014,76,0,1,1,1
-2.2567778,53.4645164,,54323,118040795,113,1,2,0,0
-2.2568539,53.4771001,,15170,9206172,21,0,0,0,0
-2.2568702,53.4797966,,10829,4691124,112,0,0,0,0
-2.2568919,53.4833919,,6657,1773000,326,0,0,0,0
-2.2570987,53.5175475,,4,0,17,0,0,0,0
-2.2548568,53.3953087,,129,667,86,0,0,0,0
-2.2549214,53.4060949,,6159,1517512,77,0,0,0,0
-2.2549375,53.4087914,,13858,7682648,115,0,0,0,0
-2.2551799,53.4492393,,136678,747240638,131,2,1,0,3
-2.2552824,53.4663173,,45909,84305661,129,1,0,0,1
-2.2554877,53.500473,,364,5325,31,0,0,0,0
-2.2554932,53.5013718,,304,3697,74,0,0,0,0
-2.2555202,53.5058659,,116,538,90,0,0,0,0
-2.2555364,53.5085624,,62,154,114,0,0,0,0
-2.255596,53.5184496,,3,0,11,0,0,0,0
-2.2533317,53.3917165,,13,6,82,0,0,0,0
-2.2536635,53.4474449,,138401,766196257,100,2,1,1,4
-2.2537224,53.4573321,,86293,297859884,68,0,0,0,1
-2.2537654,53.4645228,,52133,108717731,72,0,1,0,0
-2.2537976,53.4699158,,32431,42071616,104,0,0,0,0
-2.2539157,53.4896902,,2587,267883,143,0,0,0,0
-2.2518493,53.3953151,,90,329,52,0,0,0,0
-2.2520141,53.4231793,,95550,365197299,25,1,1,0,0
-2.2521259,53.442055,,147709,872729016,102,1,3,3,1
-2.2521791,53.4510434,,113155,512170374,2,0,0,0,0
-2.2522378,53.4609306,,65812,173252104,18,0,0,0,0
-2.2523392,53.4780085,,13269,7042929,11,0,0,0,0
-2.2525155,53.50767,,79,249,240,0,0,0,0
-2.2525369,53.5112653,,32,43,84,0,0,0,0
-2.2525422,53.5121642,,26,27,164,0,0,0,0
-2.250504,53.4222837,,70098,196551586,35,0,0,1,0
-2.2506151,53.4411593,,135426,733611608,71,0,0,1,0
-2.2507211,53.4591361,,70662,199730289,69,0,1,1,1
-2.2507582,53.465428,,45349,82263721,67,2,0,0,0
-2.2508271,53.4771129,,14449,8351629,26,0,0,0,0
-2.2509439,53.4968872,,739,21902,84,0,0,0,0
-2.2509811,53.503179,,213,1825,97,0,0,0,0
-2.2509865,53.5040779,,176,1247,124,0,0,0,0
-2.2510024,53.5067744,,97,380,141,0,0,0,0
-2.2510556,53.5157627,,9,3,66,0,0,0,0
-2.2510822,53.5202568,,1,0,102,0,0,0,0
-2.2510875,53.5211556,,0,0,116,0,0,0,0
-2.2488889,53.4034111,,932,34808,6,0,0,0,0
-2.2489099,53.4070064,,2737,299737,5,0,0,0,0
-2.2489572,53.4150961,,19087,14572723,119,0,0,1,0
-2.2490098,53.4240845,,66656,177721756,40,0,1,0,1
-2.2490518,53.4312752,,105015,441129754,125,1,1,3,2
-2.2491413,53.4465555,,112451,505812943,70,0,0,0,1
-2.2491992,53.4564428,,77736,241719376,97,0,1,1,0
-2.2494471,53.498688,,522,10932,51,0,0,0,0
-2.2494577,53.5004857,,368,5426,12,0,0,0,0
-2.2494683,53.5022834,,256,2625,96,0,0,0,0
-2.2494841,53.5049799,,144,840,6,0,0,0,0
-2.2495317,53.5130693,,20,17,57,0,0,0,0
-2.2495581,53.5175635,,5,1,130,0,0,0,0
-2.249574,53.52026,,1,0,24,0,0,0,0
-2.2474736,53.4186946,,27328,29874503,35,0,0,1,0
-2.2474893,53.4213911,,39689,63010415,18,0,0,0,0
-2.2475468,53.4312784,,88574,313816446,92,1,2,1,1
-2.2475625,53.4339749,,97987,384063376,8,0,1,1,0
-2.2476933,53.4564459,,72707,211457401,97,0,0,0,0
-2.2477614,53.4681308,,33212,44122381,180,0,1,1,0
-2.2477718,53.4699285,,28354,32159375,138,0,2,0,0
-2.2479397,53.4986912,,515,10630,48,0,0,0,0
-2.2479869,53.5067807,,96,373,48,0,0,0,0
-2.2480027,53.5094772,,51,106,85,0,0,0,0
-2.2480132,53.5112748,,33,43,96,0,0,0,0
-2.2480184,53.5121736,,26,27,105,0,0,0,0
-2.245995,53.4231919,,38976,60766888,108,0,1,1,0
-2.2460469,53.4321803,,77652,241198356,45,0,0,0,0
-2.2461665,53.4528537,,78425,246021503,99,0,2,1,1
-2.2461769,53.4546513,,73135,213951027,43,0,1,1,0
-2.2461977,53.4582467,,61741,152479558,85,0,1,0,1
