x,y,cell_id,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2655402,53.4204534,6504529144908220134,,396022,1978398655,22,1,0,0,2
-2.2655963,53.4294419,8685600517058320102,,796483,2147483647,38,4,3,0,6
-2.2656636,53.4402279,-6954263172235078938,,638950,2147483647,58,5,7,3,5
-2.2656917,53.4447221,-7903444783360770330,,536245,2147483647,59,4,2,4,2
-2.2657816,53.4591036,8320480176660514534,,295762,2147483647,166,4,11,4,4
-2.2658602,53.4716873,3409797590989018854,,180202,1298917141,125,2,1,3,3
-2.2659897,53.4923604,-2365718945364224282,,86048,296171825,62,1,0,1,0
-2.2641192,53.4339394,-55301616101183770,,681342,1389222290,54,6,5,2,5
-2.2641527,53.4393324,-1799129505341421850,,636071,2147483647,68,2,2,4,6
-2.2641806,53.4438266,-6922193285528310042,,563333,2147483647,42,2,3,0,1
-2.2643314,53.4680953,7313461786683338470,,234333,2147483647,27,0,1,0,1
-2.2643426,53.4698929,-5119406691067266330,,219352,1924618574,46,0,2,1,3
-2.2644656,53.4896673,536622626575638246,,109351,478311473,58,0,0,0,1
-2.2646225,53.5148345,8300826008003944166,,49107,96461965,47,0,0,2,0
-2.2625364,53.4213589,-5441153801290022170,,149687,896248922,93,2,1,0,1
-2.2625531,53.4240555,-5944133414741826842,,261641,2147483647,35,1,2,1,0
-2.2626418,53.4384369,-5608213471952672026,,592169,1141678974,68,3,6,5,2
-2.262664,53.4420323,-6104919003042739482,,569606,93180216,74,4,6,1,3
-2.2626751,53.44383,4841772569815309030,,551151,2147483647,21,0,2,0,4
-2.2627028,53.4483242,605508225165856486,,494803,1203277708,46,7,1,2,4
-2.2627695,53.4591102,5228304199853583078,,354360,727899317,192,7,7,9,7
-2.2628028,53.4645032,-4914485009058255130,,295170,2147483647,65,2,1,0,2
-2.2628473,53.4716939,-4730014491813090586,,230415,2123653918,200,4,3,2,3
-2.2630309,53.5013554,9164094711604889318,,86184,297113650,56,1,0,1,1
-2.2630699,53.5076472,4503625846425485030,,70879,200955028,77,0,0,0,1
-2.2631144,53.5148379,-3073497136195454234,,56903,129520650,31,1,0,0,0
-2.2631423,53.519332,3627737104511066854,,49638,98558035,208,1,1,0,2
-2.2610427,53.4231599,-97734301553612058,,128640,661938712,25,1,0,1,0
-2.2612027,53.4492263,-2768365916960627994,,481070,667203891,37,1,2,1,1
-2.2614182,53.4842809,974804121586507494,,169236,1145643344,136,3,1,2,2
-2.2615178,53.5004599,525851067126723302,,101386,411171863,48,0,1,0,2
-2.2595928,53.4321516,-3186463172877651226,,313292,2147483647,34,1,2,1,0
-2.2595982,53.4330505,4728380058564737766,,336631,237861789,114,5,4,5,4
-2.2596037,53.4339493,-4347429581144011034,,358447,844418014,84,3,4,0,1
-2.2596311,53.4384435,2486736712152068838,,439968,2147483647,53,1,4,2,3
-2.2596641,53.4438366,6267195244730139366,,477130,516190851,24,1,0,2,0
-2.2596805,53.4465331,4813593830928761574,,476125,477879626,67,4,3,2,5
-2.2597299,53.4546226,6467569402093212390,,428652,2147483647,35,2,2,2,1
-2.2597574,53.4591168,8864222466996232934,,388839,1752887819,100,4,2,3,2
-2.2598068,53.4672063,5538582275697341158,,314504,2147483647,93,2,6,4,3
-2.2598233,53.4699029,5428003152784542438,,291145,2147483647,82,4,5,4,4
-2.2599002,53.4824865,1937378668414715622,,199252,1588067054,62,0,1,0,3
-2.2599167,53.485183,5081524606056243942,,183379,1345116592,68,0,1,0,2
-2.2600819,53.512148,810945815195102950,,80964,262208757,17,0,1,0,0
-2.2580223,53.4213688,-4182704147092003098,,21684,18808245,80,0,0,1,0
-2.2580277,53.4222676,-5187000936324133146,,29612,35075214,38,0,0,1,0
-2.258104,53.4348514,4541397942516936422,,288208,2147483647,97,5,3,5,2
-2.2581258,53.4384468,2641711967522112230,,359449,873182866,22,1,1,2,1
-2.2581586,53.4438398,4768270369095828198,,423242,2147483647,28,0,0,1,0
-2.2581804,53.4474352,-4295180408545597722,,438303,2147483647,160,13,8,6,7
-2.2582077,53.4519294,9205998164829418214,,433860,2147483647,45,2,1,3,2
-2.2582131,53.4528282,7688969206081764070,,430635,2147483647,72,2,0,2,1
-2.2582513,53.4591201,-1007389654633267482,,394258,1922632313,96,8,3,5,1
-2.258295,53.4663108,-3233283323207055642,,338291,282682828,99,2,8,8,7
-2.2583332,53.4726026,1459857957755788006,,288212,2147483647,167,5,5,4,4
-2.2585137,53.5022641,-5992403126214425882,,122316,598448952,97,1,0,0,1
-2.2586232,53.5202407,-418218863092877594,,72301,209102035,48,0,0,1,1
-2.256588,53.433057,3189310789920967398,,174032,1211491052,21,1,0,1,0
-2.2566368,53.4411466,-7727797502955529498,,329434,46109838,73,3,4,3,0
-2.2566693,53.4465396,2277113781933741798,,388686,1748131570,53,1,0,4,2
-2.2566856,53.4492361,-6539516393388987674,,402931,2147483647,63,2,3,3,2
-2.2567127,53.4537303,-4155465383613604122,,407856,2147483647,74,3,3,6,4
-2.2567236,53.455528,3644611249090808550,,404552,2147483647,76,2,3,3,1
-2.2567778,53.4645164,2260235857620370150,,360449,901993720,113,7,2,3,4
-2.2568539,53.4771001,-682958741977944346,,272282,2147483647,21,2,2,0,1
-2.2568702,53.4797966,1963039215706292966,,254012,2147483647,112,6,3,0,4
-2.2568919,53.4833919,-525235792793170202,,230868,2132014923,326,11,10,12,6
-2.2551799,53.4492393,-860152054007299354,,360300,897696859,131,5,6,8,1
-2.2552824,53.4663173,5793172649282262758,,352507,675507890,129,4,4,5,9
-2.2554932,53.5013718,-158159025146785050,,154101,949895359,74,2,0,1,2
-2.2555202,53.5058659,6673074221816139494,,136285,742944152,90,2,2,3,2
-2.2555364,53.5085624,-781433892062738714,,126544,640541928,114,2,1,0,1
-2.2556231,53.5229437,4978291221835221734,,84586,286198313,75,1,0,1,0
-2.2557857,53.5499085,-8275492292980668698,,34805,48456341,64,0,0,0,1
-2.2536635,53.4474449,-7152446989104168218,,295449,2147483647,100,1,2,4,2
-2.2537224,53.4573321,-3808541654196958490,,359914,886578507,68,2,4,2,3
-2.2537654,53.4645228,6611880053056355046,,355846,770101383,72,2,3,3,1
-2.2537976,53.4699158,56118646441252582,,335720,213353134,104,3,3,2,1
-2.2539157,53.4896902,-3352035843012958490,,225803,2039489326,143,3,5,3,0
-2.2541255,53.5247446,4639672873337064166,,89578,320974483,102,0,1,2,1
-2.2541309,53.5256434,-5418371029922270490,,87316,304970006,112,0,2,0,0
-2.254514,53.5894598,-1611421741977819418,,3676,540694,85,1,0,0,0
-2.2545951,53.6029421,4583637013767696102,,1009,40773,40,1,0,0,0
-2.2521259,53.442055,4164675140155535078,,171426,1175479597,102,2,2,1,0
-2.2522378,53.4609306,-484228622747570458,,342198,389018569,18,0,0,0,2
-2.2523392,53.4780085,4663538671549325030,,300458,2147483647,11,0,0,1,0
-2.2525155,53.50767,-8523066058572685594,,155672,969357367,240,3,2,3,4
-2.2525369,53.5112653,533636608299457254,,142021,806804916,84,2,1,2,0
-2.2525422,53.5121642,2314513639405348582,,138768,770268389,164,2,2,0,3
-2.2527618,53.5490161,1616967849173287654,,45797,83896603,29,0,1,0,0
-2.2506151,53.4411593,-7675963362233193754,,117975,556728559,71,1,0,0,0
-2.2507211,53.4591361,-719289685966638362,,309410,2147483647,69,0,0,1,3
-2.2507582,53.465428,-8085232327441485082,,327859,4699626,67,2,6,1,1
-2.2508271,53.4771129,354019376690542310,,307609,2147483647,26,1,0,1,1
-2.2509439,53.4968872,8701268345528589030,,215890,1864352280,84,7,6,2,2
-2.2509811,53.503179,9001486773051360998,,187245,1402432383,97,1,2,2,2
-2.2509865,53.5040779,3399684597462979302,,183354,1344753542,124,1,0,2,0
-2.2510024,53.5067744,-2557810717951218970,,172017,1183600634,141,3,3,3,1
-2.2510556,53.5157627,5429944174773963494,,137925,760934492,66,0,0,0,1
-2.2510822,53.5202568,1735569156278254310,,122936,604533246,102,3,2,0,1
-2.2510875,53.5211556,-7503624619309709594,,120090,576870519,116,0,3,1,1
-2.2511194,53.5265486,6596890291286632166,,103996,432607236,65,1,0,1,0
-2.2491413,53.4465555,-499528539499273498,,149590,895094674,70,1,1,0,3
-2.2491992,53.4564428,-1262665151373865242,,257293,2147483647,97,4,6,2,2
-2.2494471,53.498688,8287539956484505318,,219202,1921983100,51,0,2,1,0
-2.2494683,53.5022834,7610659751882740454,,203289,1653063874,96,2,2,2,1
-2.2494841,53.5049799,6680654625974899430,,191707,1470076833,6,0,0,0,1
-2.2495317,53.5130693,-1206532777375000858,,159319,1015310693,57,2,2,0,0
-2.2495581,53.5175635,8542566315400676070,,142996,817917426,130,1,0,0,2
-2.249574,53.52026,3829832849524447974,,133772,715798666,24,0,2,0,0
-2.2475468,53.4312784,-6467714298833766682,,8471,2870324,92,0,0,1,0
-2.2476933,53.4564459,-7653867988964343066,,221822,1968210849,97,2,2,1,2
-2.2477614,53.4681308,-6949652550291979546,,293998,2147483647,180,4,4,4,7
-2.2477718,53.4699285,7308690779256960742,,298306,2147483647,138,2,4,5,2
-2.2479397,53.4986912,-4089120764760763674,,229321,2103534190,48,1,1,1,0
-2.2479869,53.5067807,8567002034274011878,,195505,1528896926,48,1,0,2,3
-2.2480027,53.5094772,2689816657539828454,,184642,1363709451,85,0,1,0,2
-2.2480132,53.5112748,4516584862314142438,,177569,1261233303,96,3,0,2,1
-2.2480184,53.5121736,1421852863175413478,,174086,1212250209,105,1,0,1,4
-2.2480868,53.5238584,-3352651579521732890,,132389,701080027,47,0,1,0,1
-2.2482183,53.5463291,6309547133981621990,,69218,191645934,16,0,0,1,0
-2.2461665,53.4528537,5070807781310827238,,151757,921219282,99,0,1,1,1
-2.2461769,53.4546513,-3174668191766150426,,170121,1157655278,43,0,2,0,2
-2.2461977,53.4582467,8907491340653719270,,204679,1675746343,85,2,1,3,0
-2.2462029,53.4591455,1806973407087882982,,212652,1808840137,36,1,1,1,0
-2.2464479,53.5013908,9046431901032484582,,227031,2061727877,103,2,4,3,2
-2.2464844,53.5076826,6371666428633346790,,202167,1634864267,69,3,2,1,0
-2.2464896,53.5085814,4055172485273683686,,198642,1578358759,115,2,1,6,2
-2.2465627,53.5211651,-8376101175673822490,,151802,921758065,59,3,2,1,4
-2.246882,53.5759934,2157375946657763046,,18860,14228939,3,1,0,0,0
-2.2447849,53.4744289,6122213781337848550,,272500,2147483647,111,4,4,4,5
-2.2449559,53.5040904,-6798064982966678810,,224530,2016565565,122,0,1,4,2
-2.2450597,53.522067,7283674546815244006,,158618,1006390447,48,0,3,1,1
-2.2450805,53.5256623,4645382257450051302,,146242,855470310,13,0,0,1,0
-2.2431343,53.4492645,17445471515811558,,67387,181644176,87,1,1,0,1
-2.2431805,53.457354,-9146397060401701146,,136249,742558520,90,1,3,2,1
-2.2432114,53.4627471,-8584255067675725082,,182797,1336591385,72,0,1,0,3
-2.243268,53.4726343,3430661211339613926,,246175,2147483647,300,11,7,7,4
-2.243304,53.4789261,886758514521277158,,266052,2147483647,2,0,1,0,1
-2.2434586,53.5058911,737089819472938726,,224899,2023183927,94,3,4,2,2
-2.2435462,53.5211713,4988001146893052646,,171149,1171691366,58,1,0,1,1
-2.2415673,53.4384814,8680781882765783782,,8037,2584313,75,0,0,0,1
-2.2415826,53.441178,2134388145120086758,,14196,8061270,46,0,0,0,1
-2.2417563,53.4717385,-8856656228966394138,,218854,1915900040,456,11,5,5,13
-2.2417717,53.474435,-5335441571831362842,,232739,2147483647,361,4,8,14,10
-2.2419816,53.5112872,-4844758757947614490,,213164,1817560273,58,1,1,3,0
-2.2420329,53.5202755,9042363853181919974,,182840,1337228395,110,2,2,1,5
-2.242444,53.5921814,-1420960044388500762,,7981,2548461,120,0,1,0,0
-2.2424492,53.5930802,486965162120064742,,7396,2188538,110,0,1,0,0
-2.240062,53.4384845,-4556176508422569242,,5239,1098056,87,0,2,0,0
-2.2401178,53.4483717,-410353829836573978,,33056,43708618,91,0,0,2,0
-2.2401584,53.4555625,8135992453152823014,,75912,230510811,219,0,1,2,1
-2.2401635,53.4564613,8928120638947925734,,82364,271356316,84,2,1,4,0
-2.2401686,53.4573601,-4265649850451097882,,88983,316723267,45,0,1,0,1
-2.2402143,53.4654497,2588700125718717158,,151462,917637264,67,0,1,0,1
-2.2402244,53.4672474,3722726391797553894,,164842,1086924267,209,0,6,5,2
-2.2402549,53.4726404,-4165283725814934810,,200774,1612415618,391,9,8,12,8
-2.2402753,53.4762357,2069696025458255590,,220051,1936911285,68,2,2,1,0
-2.2403007,53.4807299,6542080246329317094,,238034,2147483647,2,0,0,0,1
-2.2405552,53.5256715,9047955976678922982,,172489,1190110029,72,2,0,2,0
-2.2406062,53.5346598,-7553410006353083674,,142353,810585875,93,1,3,3,2
-2.2386777,53.4600597,1507626098616324838,,88803,315441750,35,1,0,0,0
-2.2387635,53.4753399,-2367741057041241370,,193959,1504807437,475,11,12,9,10
-2.2389304,53.5050014,4127843880674249446,,236363,2147483647,69,0,0,4,2
-2.2389405,53.5067991,-6928961369993944346,,232813,2147483647,86,1,4,1,0
-2.2389607,53.5103944,6869085253351551718,,224611,2018017111,212,6,2,5,3
-2.2389709,53.5121921,1082714561276011238,,220047,1936840809,79,2,1,1,0
-2.2370564,53.4393893,-7613659717524540698,,2757,304203,98,0,0,1,0
