x,y,cell_id,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2655402,53.4204534,6504529144908220134,,1271383,232131096,22,2,5,1,2
-2.2655963,53.4294419,8685600517058320102,,923528,2147483647,38,3,3,4,2
-2.2656636,53.4402279,-6954263172235078938,,530888,2147483647,58,4,1,2,3
-2.2656917,53.4447221,-7903444783360770330,,412071,2147483647,59,4,3,5,2
-2.2657816,53.4591036,8320480176660514534,,152450,929649172,166,0,2,3,5
-2.2658602,53.4716873,3409797590989018854,,43802,76746198,125,0,1,0,0
-2.2641192,53.4339394,-55301616101183770,,712643,2147483647,54,2,3,4,2
-2.2641527,53.4393324,-1799129505341421850,,550049,2147483647,68,5,3,4,6
-2.2641806,53.4438266,-6922193285528310042,,434191,2147483647,42,1,1,1,1
-2.2643314,53.4680953,7313461786683338470,,67702,183345755,27,1,1,0,0
-2.2643426,53.4698929,-5119406691067266330,,55759,124364191,46,1,0,2,0
-2.2624367,53.4051797,6558309216546043622,,56916,129577414,70,1,0,1,0
-2.2624422,53.4060786,-8688582507733682458,,79540,253070122,25,0,0,0,1
-2.2625364,53.4213589,-5441153801290022170,,885840,1323733780,93,12,7,6,5
-2.2625531,53.4240555,-5944133414741826842,,888874,1539146079,35,3,5,3,1
-2.2626418,53.4384369,-5608213471952672026,,559205,2147483647,68,5,6,4,6
-2.262664,53.4420323,-6104919003042739482,,471144,289138586,74,2,5,5,3
-2.2626751,53.44383,4841772569815309030,,429864,2147483647,21,1,0,1,1
-2.2627028,53.4483242,605508225165856486,,335149,198032901,46,3,3,3,1
-2.2627695,53.4591102,5228304199853583078,,159264,1014602293,192,5,6,5,1
-2.2628028,53.4645032,-4914485009058255130,,99475,395816097,65,0,1,2,0
-2.2628473,53.4716939,-4730014491813090586,,46920,88059525,200,3,1,2,1
-2.2609546,53.4087784,-6054602705832647962,,132003,696991839,47,0,0,2,1
-2.2610152,53.4186657,5173944745410239206,,649958,2147483647,41,3,5,3,3
-2.2610427,53.4231599,-97734301553612058,,755320,1345508346,25,1,2,0,3
-2.2612027,53.4492263,-2768365916960627994,,315725,2147483647,37,1,1,1,2
-2.2595106,53.418669,1878073865649755878,,508829,1766374522,87,7,7,1,5
-2.259516,53.4195678,-6359262275304227098,,541587,2147483647,51,2,5,3,1
-2.2595928,53.4321516,-3186463172877651226,,615608,2147483647,34,4,3,2,0
-2.2595982,53.4330505,4728380058564737766,,602874,1653421881,114,9,9,4,9
-2.2596037,53.4339493,-4347429581144011034,,589125,997872777,84,4,8,4,5
-2.2596311,53.4384435,2486736712152068838,,510661,1841064743,53,1,2,3,3
-2.2596641,53.4438366,6267195244730139366,,408984,2147483647,24,0,1,0,0
-2.2596805,53.4465331,4813593830928761574,,359048,861667512,67,0,3,1,4
-2.2597299,53.4546226,6467569402093212390,,223422,1996711278,35,0,0,1,0
-2.2597574,53.4591168,8864222466996232934,,161419,1042253727,100,1,2,1,2
-2.2598068,53.4672063,5538582275697341158,,78921,249146800,93,0,0,0,1
-2.2580223,53.4213688,-4182704147092003098,,481148,670221057,80,3,2,8,4
-2.2580277,53.4222676,-5187000936324133146,,503455,1548758130,38,5,1,2,3
-2.258104,53.4348514,4541397942516936422,,529669,2147483647,97,6,4,4,8
-2.2581258,53.4384468,2641711967522112230,,480233,635019722,22,2,0,0,2
-2.2581586,53.4438398,4768270369095828198,,393224,1890040315,28,0,2,0,2
-2.2581804,53.4474352,-4295180408545597722,,333235,146861387,160,6,3,3,7
-2.2582077,53.4519294,9205998164829418214,,261044,2147483647,45,0,0,2,1
-2.2582131,53.4528282,7688969206081764070,,247305,2147483647,72,1,1,0,2
-2.2582513,53.4591201,-1007389654633267482,,160688,1032833610,96,0,1,2,2
-2.258295,53.4663108,-3233283323207055642,,86655,300363733,99,0,0,2,0
-2.2583332,53.4726026,1459857957755788006,,44673,79827160,167,1,0,1,1
-2.2564472,53.4096871,-8491193124248104218,,61987,153696025,67,0,0,0,2
-2.256588,53.433057,3189310789920967398,,495068,1213793367,21,2,0,2,0
-2.2566368,53.4411466,-7727797502955529498,,412680,2147483647,73,2,4,1,2
-2.2566693,53.4465396,2277113781933741798,,334615,183735188,53,0,0,3,0
-2.2566856,53.4492361,-6539516393388987674,,294183,2147483647,63,2,2,1,3
-2.2567127,53.4537303,-4155465383613604122,,228831,2094552568,74,4,2,1,2
-2.2567236,53.455528,3644611249090808550,,204205,1667995108,76,0,2,0,1
-2.2567778,53.4645164,2260235857620370150,,102058,416639650,113,2,1,2,0
-2.2568919,53.4833919,-525235792793170202,,10877,4732963,326,2,0,1,0
-2.2549375,53.4087914,4616863920785016550,,35894,51536606,115,1,1,0,0
-2.2551799,53.4492393,-860152054007299354,,282530,2147483647,131,2,3,1,5
-2.2552824,53.4663173,5793172649282262758,,85732,294005056,129,1,2,0,1
-2.2536635,53.4474449,-7152446989104168218,,290743,2147483647,100,1,2,1,1
-2.2537224,53.4573321,-3808541654196958490,,171573,1177501446,68,1,0,1,0
-2.2537654,53.4645228,6611880053056355046,,99105,392879823,72,0,0,1,1
-2.2537976,53.4699158,56118646441252582,,59433,141295595,104,1,0,0,0
-2.2539157,53.4896902,-3352035843012958490,,4056,658215,143,0,1,0,0
-2.2520141,53.4231793,8175066055979878118,,230336,2122194080,25,0,0,2,1
-2.2521259,53.442055,4164675140155535078,,321358,2147483647,102,3,5,4,2
-2.250504,53.4222837,2470063413266779878,,171279,1173460726,35,0,1,0,0
-2.2506151,53.4411593,-7675963362233193754,,298159,2147483647,71,3,1,1,2
-2.2507211,53.4591361,-719289685966638362,,140679,791625292,69,1,0,0,2
-2.2507582,53.465428,-8085232327441485082,,86719,300811421,67,2,0,0,1
-2.2489572,53.4150961,-5300423288364413210,,48979,95960329,119,1,1,0,3
-2.2490098,53.4240845,-8275522262796308762,,162411,1055096971,40,2,0,1,2
-2.2490518,53.4312752,8508474655642063590,,245625,2147483647,125,3,2,3,2
-2.2491413,53.4465555,-499528539499273498,,242210,2147483647,70,5,2,1,0
-2.2491992,53.4564428,-1262665151373865242,,158278,1002087492,97,2,2,1,2
-2.2475468,53.4312784,-6467714298833766682,,208752,1743096846,92,1,0,3,1
-2.2475625,53.4339749,4427247138321140454,,227526,2070736453,8,1,0,0,0
