x,y,name,mean,variance,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3
-2.2807386,53.4034207,release location,,,,,,,
-2.2653554,53.3907915,,6897,1903045,74,0,0,0,0
-2.2655402,53.4204534,,1713211,1439660924,22,2,4,3,3
-2.2655963,53.4294419,,1028032,2147483647,38,2,3,3,7
-2.2656636,53.4402279,,415053,2147483647,58,0,5,1,1
-2.2656917,53.4447221,,258379,2147483647,59,2,1,1,3
-2.2657816,53.4591036,,35737,51086993,166,2,0,1,2
-2.2658602,53.4716873,,3256,424312,125,0,0,0,0
-2.2638295,53.3871995,,1806,130508,80,1,0,0,0
-2.2638462,53.389896,,4471,799795,101,0,0,0,0
-2.2639019,53.3988845,,83759,280628726,38,1,0,2,0
-2.2639074,53.3997833,,110809,491151920,3,0,0,0,0
-2.2639186,53.401581,,189831,1441437649,38,1,0,0,2
-2.263952,53.4069741,,698857,2147483647,6,1,1,0,1
-2.2641192,53.4339394,,671123,836425346,54,6,1,4,2
-2.2641527,53.4393324,,422589,2147483647,68,3,1,3,3
-2.2641806,53.4438266,,268750,2147483647,42,4,1,1,1
-2.2643314,53.4680953,,6672,1781123,27,0,0,0,0
-2.2643426,53.4698929,,4617,852975,46,1,0,0,0
-2.2644656,53.4896673,,15,9,58,0,0,0,0
-2.2622928,53.3818097,,221,1967,92,0,0,0,0
-2.2623039,53.3836074,,453,8211,84,0,0,0,0
-2.2623703,53.3943936,,16483,10868835,13,0,0,0,0
-2.2623758,53.3952924,,21897,19180113,95,1,0,1,0
-2.2624367,53.4051797,,354560,733563400,70,2,5,0,2
-2.2624422,53.4060786,,428190,2147483647,25,0,0,0,1
-2.262481,53.4123705,,1010252,2147483647,17,2,2,0,1
-2.2625364,53.4213589,,1176335,2147483647,93,8,6,9,14
-2.2625531,53.4240555,,1080242,2147483647,35,2,2,6,4
-2.2626418,53.4384369,,423365,2147483647,68,1,3,1,3
-2.262664,53.4420323,,301767,2147483647,74,3,4,2,4
-2.2626751,53.44383,,250750,2147483647,21,1,0,1,0
-2.2627028,53.4483242,,150373,904488177,46,0,0,2,2
-2.2627695,53.4591102,,32577,42451347,192,1,2,2,0
-2.2628028,53.4645032,,12768,6521061,65,0,1,0,0
-2.2628473,53.4716939,,3022,365438,200,0,0,0,0
-2.2608335,53.3890038,,2529,256008,76,0,0,0,0
-2.2609546,53.4087784,,506004,1651695105,47,1,3,0,2
-2.2610152,53.4186657,,993287,810104845,41,6,6,1,4
-2.2610427,53.4231599,,944922,1355384228,25,3,1,3,1
-2.2612027,53.4492263,,125610,631118162,37,0,1,0,0
-2.2614182,53.4842809,,121,586,136,0,0,0,0
-2.2593464,53.3917036,,5060,1024364,73,0,0,0,0
-2.2595106,53.418669,,802462,2147483647,87,8,9,12,5
-2.259516,53.4195678,,810809,526694826,51,5,4,4,5
-2.2595928,53.4321516,,549552,2147483647,34,1,2,1,1
-2.2595982,53.4330505,,519804,2147483647,114,4,5,4,10
-2.2596037,53.4339493,,490225,1022902057,84,1,3,5,4
-2.2596311,53.4384435,,350171,609830535,53,2,1,2,0
-2.2596641,53.4438366,,212685,1809402452,24,0,0,0,0
